trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Block_Number,Trial_Number,Subject_Key,Correct_Key,Subject_Response,Correct_Response,Answered_Correctly,Left_Zoid,Left_Zoid_Orientation,Right_Zoid,Right_Zoid_Orientation,Response.rt,date,frameRate,expName,session,participant,
0,0,0,0,0,0,x,x,no,no,True,t,270,z,90,0.357067073928,2018_01_24_1611,50.1123734603,PL-Tetris_2,001,0,
1,0,1,0,0,1,m,x,yes,no,False,l,270,t,180,0.202109077247,2018_01_24_1611,50.1123734603,PL-Tetris_2,001,0,
2,0,2,0,0,2,x,x,no,no,True,j,0,i,90,0.159983790945,2018_01_24_1611,50.1123734603,PL-Tetris_2,001,0,
3,0,3,0,0,3,m,m,yes,yes,True,l,90,l,270,0.241548313992,2018_01_24_1611,50.1123734603,PL-Tetris_2,001,0,
4,0,4,0,0,4,x,m,no,yes,False,o,0,o,0,1.16025786987,2018_01_24_1611,50.1123734603,PL-Tetris_2,001,0,
5,0,5,0,0,5,m,x,yes,no,False,l,270,j,180,0.140962104546,2018_01_24_1611,50.1123734603,PL-Tetris_2,001,0,
