4.6109 	ERROR 	avbin.dll failed to load. Try importing psychopy.visual
  as the first library (before anything that uses scipy)
  and make sure that avbin is installed.
10.8229 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1AB9F5F0>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1600,  900]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
10.8230 	EXP 	window1: recordFrameIntervals = False
11.0233 	EXP 	window1: recordFrameIntervals = True
11.2437 	EXP 	window1: recordFrameIntervals = False
11.7673 	EXP 	Created Orientation_Cue = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='Orientation_Cue', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
11.7814 	EXP 	Created Ready_Cue = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='Ready_Cue', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'\u25cb', units=u'norm', win=Window(...), wrapWidth=1)
11.8061 	EXP 	Created Zoid_Left = ShapeStim(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=-3.0, fillColor=array([ 1.,  1.,  1.]), fillColorSpace='rgb', interpolate=True, lineColor=array([ 1.,  1.,  1.]), lineColorSpace='rgb', lineWidth=1, name='Zoid_Left', opacity=1.0, ori=array(0.0), pos=array([-5.,  0.]), size=array([ 1.,  1.]), units='cm', vertices=ndarray(...), win=Window(...), windingRule=None)
11.8103 	EXP 	Created Zoid_Right = ShapeStim(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=-4.0, fillColor=array([ 1.,  1.,  1.]), fillColorSpace='rgb', interpolate=True, lineColor=array([ 1.,  1.,  1.]), lineColorSpace='rgb', lineWidth=1, name='Zoid_Right', opacity=1.0, ori=array(0.0), pos=array([ 5.,  0.]), size=array([ 1.,  1.]), units='cm', vertices=ndarray(...), win=Window(...), windingRule=None)
11.9368 	EXP 	Created Button_Instructions = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.07, italic=False, name='Button_Instructions', opacity=1.0, ori=0, pos=array([ 0. ,  0.5]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
11.9470 	EXP 	Created x_instruction = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.07, italic=False, name='x_instruction', opacity=1.0, ori=0, pos=array([-0.5, -0.8]), rgb=array([ 255.,  255.,  255.]), text=u'DIFFERENT\nx', units=u'norm', win=Window(...), wrapWidth=1)
11.9541 	EXP 	Created m_instruction = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.07, italic=False, name='m_instruction', opacity=1.0, ori=0, pos=array([ 0.5, -0.8]), rgb=array([ 255.,  255.,  255.]), text=u'SAME\nm', units=u'norm', win=Window(...), wrapWidth=1)
11.9721 	EXP 	Created Feedback_Screen = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='Feedback_Screen', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'Placeholder_text', units=u'norm', win=Window(...), wrapWidth=1)
11.9757 	EXP 	window1: blendMode = 'avg'
11.9766 	EXP 	window1: blendMode = 'avg'
11.9770 	EXP 	window1: blendMode = 'avg'
11.9861 	EXP 	x_instruction: autoDraw = True
11.9861 	EXP 	m_instruction: autoDraw = True
11.9861 	EXP 	Button_Instructions: autoDraw = True
16.7904 	DATA 	Keypress: x
16.9890 	EXP 	Created sequence: random, trialTypes=1, nReps=121, seed=None
17.6106 	EXP 	New trial (rep=0, index=0): None
17.6115 	EXP 	window1: blendMode = 'avg'
17.6116 	EXP 	window1: blendMode = 'avg'
17.6120 	EXP 	window1: blendMode = 'avg'
17.6192 	EXP 	Button_Instructions: autoDraw = False
17.6192 	EXP 	Zoid_Left: vertices = ((0.5, 0), (1.5, 0), (1.5, 1), (-1.5, 1), (-1.5, 0), (-0.5, 0), (-0.5, -1), (0.5, -1))
17.6192 	EXP 	Zoid_Left: ori = 270
17.6192 	EXP 	Zoid_Right: vertices = ((-0.5, 0), (-1.5, 0), (-1.5, 1), (0.5, 1), (0.5, 0), (1.5, 0), (1.5, -1), (-0.5, -1))
17.6192 	EXP 	Zoid_Right: ori = 90
17.6192 	EXP 	Orientation_Cue: autoDraw = True
17.6199 	EXP 	window1: blendMode = 'avg'
17.6202 	EXP 	window1: blendMode = 'avg'
17.6204 	EXP 	window1: blendMode = 'avg'
17.6398 	EXP 	window1: blendMode = 'avg'
17.6400 	EXP 	window1: blendMode = 'avg'
17.6403 	EXP 	window1: blendMode = 'avg'
17.6600 	EXP 	window1: blendMode = 'avg'
17.6604 	EXP 	window1: blendMode = 'avg'
17.6607 	EXP 	window1: blendMode = 'avg'
17.6826 	EXP 	window1: blendMode = 'avg'
17.6833 	EXP 	window1: blendMode = 'avg'
17.6839 	EXP 	window1: blendMode = 'avg'
17.7028 	EXP 	window1: blendMode = 'avg'
17.7035 	EXP 	window1: blendMode = 'avg'
17.7042 	EXP 	window1: blendMode = 'avg'
17.7235 	EXP 	window1: blendMode = 'avg'
17.7246 	EXP 	window1: blendMode = 'avg'
17.7257 	EXP 	window1: blendMode = 'avg'
17.7441 	EXP 	window1: blendMode = 'avg'
17.7448 	EXP 	window1: blendMode = 'avg'
17.7455 	EXP 	window1: blendMode = 'avg'
17.7629 	EXP 	window1: blendMode = 'avg'
17.7637 	EXP 	window1: blendMode = 'avg'
17.7643 	EXP 	window1: blendMode = 'avg'
17.7840 	EXP 	window1: blendMode = 'avg'
17.7846 	EXP 	window1: blendMode = 'avg'
17.7853 	EXP 	window1: blendMode = 'avg'
17.8027 	EXP 	window1: blendMode = 'avg'
17.8035 	EXP 	window1: blendMode = 'avg'
17.8041 	EXP 	window1: blendMode = 'avg'
17.8228 	EXP 	window1: blendMode = 'avg'
17.8237 	EXP 	window1: blendMode = 'avg'
17.8244 	EXP 	window1: blendMode = 'avg'
17.8439 	EXP 	window1: blendMode = 'avg'
17.8446 	EXP 	window1: blendMode = 'avg'
17.8453 	EXP 	window1: blendMode = 'avg'
17.8642 	EXP 	window1: blendMode = 'avg'
17.8651 	EXP 	window1: blendMode = 'avg'
17.8660 	EXP 	window1: blendMode = 'avg'
17.8845 	EXP 	window1: blendMode = 'avg'
17.8855 	EXP 	window1: blendMode = 'avg'
17.8865 	EXP 	window1: blendMode = 'avg'
17.9027 	EXP 	window1: blendMode = 'avg'
17.9042 	EXP 	window1: blendMode = 'avg'
17.9049 	EXP 	window1: blendMode = 'avg'
17.9233 	EXP 	window1: blendMode = 'avg'
17.9242 	EXP 	window1: blendMode = 'avg'
17.9249 	EXP 	window1: blendMode = 'avg'
17.9434 	EXP 	window1: blendMode = 'avg'
17.9441 	EXP 	window1: blendMode = 'avg'
17.9447 	EXP 	window1: blendMode = 'avg'
17.9637 	EXP 	window1: blendMode = 'avg'
17.9644 	EXP 	window1: blendMode = 'avg'
17.9650 	EXP 	window1: blendMode = 'avg'
17.9843 	EXP 	window1: blendMode = 'avg'
17.9850 	EXP 	window1: blendMode = 'avg'
17.9858 	EXP 	window1: blendMode = 'avg'
18.0037 	EXP 	window1: blendMode = 'avg'
18.0044 	EXP 	window1: blendMode = 'avg'
18.0051 	EXP 	window1: blendMode = 'avg'
18.0237 	EXP 	window1: blendMode = 'avg'
18.0247 	EXP 	window1: blendMode = 'avg'
18.0257 	EXP 	window1: blendMode = 'avg'
18.0444 	EXP 	window1: blendMode = 'avg'
18.0452 	EXP 	window1: blendMode = 'avg'
18.0463 	EXP 	window1: blendMode = 'avg'
18.0635 	EXP 	window1: blendMode = 'avg'
18.0643 	EXP 	window1: blendMode = 'avg'
18.0650 	EXP 	window1: blendMode = 'avg'
18.0835 	EXP 	window1: blendMode = 'avg'
18.0841 	EXP 	window1: blendMode = 'avg'
18.0848 	EXP 	window1: blendMode = 'avg'
18.1040 	DATA 	Keypress: x
18.1051 	EXP 	window1: blendMode = 'avg'
18.1057 	EXP 	window1: blendMode = 'avg'
18.1064 	EXP 	window1: blendMode = 'avg'
18.1228 	EXP 	window1: blendMode = 'avg'
18.1237 	EXP 	window1: blendMode = 'avg'
18.1243 	EXP 	window1: blendMode = 'avg'
18.1432 	EXP 	window1: blendMode = 'avg'
18.1439 	EXP 	window1: blendMode = 'avg'
18.1445 	EXP 	window1: blendMode = 'avg'
18.1632 	EXP 	window1: blendMode = 'avg'
18.1639 	EXP 	window1: blendMode = 'avg'
18.1646 	EXP 	window1: blendMode = 'avg'
18.1828 	EXP 	window1: blendMode = 'avg'
18.1835 	EXP 	window1: blendMode = 'avg'
18.1841 	EXP 	window1: blendMode = 'avg'
18.2043 	EXP 	window1: blendMode = 'avg'
18.2049 	EXP 	window1: blendMode = 'avg'
18.2056 	EXP 	window1: blendMode = 'avg'
18.2265 	EXP 	window1: blendMode = 'avg'
18.2275 	EXP 	window1: blendMode = 'avg'
18.2285 	EXP 	window1: blendMode = 'avg'
18.2430 	EXP 	window1: blendMode = 'avg'
18.2436 	EXP 	window1: blendMode = 'avg'
18.2443 	EXP 	window1: blendMode = 'avg'
18.2628 	EXP 	window1: blendMode = 'avg'
18.2635 	EXP 	window1: blendMode = 'avg'
18.2641 	EXP 	window1: blendMode = 'avg'
18.2833 	EXP 	window1: blendMode = 'avg'
18.2839 	EXP 	window1: blendMode = 'avg'
18.2846 	EXP 	window1: blendMode = 'avg'
18.3029 	EXP 	window1: blendMode = 'avg'
18.3036 	EXP 	window1: blendMode = 'avg'
18.3043 	EXP 	window1: blendMode = 'avg'
18.3234 	EXP 	window1: blendMode = 'avg'
18.3241 	EXP 	window1: blendMode = 'avg'
18.3247 	EXP 	window1: blendMode = 'avg'
18.3430 	EXP 	window1: blendMode = 'avg'
18.3437 	EXP 	window1: blendMode = 'avg'
18.3443 	EXP 	window1: blendMode = 'avg'
18.3625 	EXP 	window1: blendMode = 'avg'
18.3632 	EXP 	window1: blendMode = 'avg'
18.3639 	EXP 	window1: blendMode = 'avg'
18.3826 	EXP 	window1: blendMode = 'avg'
18.3832 	EXP 	window1: blendMode = 'avg'
18.3839 	EXP 	window1: blendMode = 'avg'
18.4025 	EXP 	window1: blendMode = 'avg'
18.4032 	EXP 	window1: blendMode = 'avg'
18.4038 	EXP 	window1: blendMode = 'avg'
18.4226 	EXP 	window1: blendMode = 'avg'
18.4235 	EXP 	window1: blendMode = 'avg'
18.4242 	EXP 	window1: blendMode = 'avg'
18.4429 	EXP 	window1: blendMode = 'avg'
18.4436 	EXP 	window1: blendMode = 'avg'
18.4442 	EXP 	window1: blendMode = 'avg'
18.4626 	EXP 	window1: blendMode = 'avg'
18.4633 	EXP 	window1: blendMode = 'avg'
18.4639 	EXP 	window1: blendMode = 'avg'
18.4834 	EXP 	window1: blendMode = 'avg'
18.4841 	EXP 	window1: blendMode = 'avg'
18.4848 	EXP 	window1: blendMode = 'avg'
18.5030 	EXP 	window1: blendMode = 'avg'
18.5042 	EXP 	window1: blendMode = 'avg'
18.5053 	EXP 	window1: blendMode = 'avg'
18.5224 	EXP 	window1: blendMode = 'avg'
18.5232 	EXP 	window1: blendMode = 'avg'
18.5239 	EXP 	window1: blendMode = 'avg'
18.5426 	EXP 	window1: blendMode = 'avg'
18.5433 	EXP 	window1: blendMode = 'avg'
18.5439 	EXP 	window1: blendMode = 'avg'
18.5632 	EXP 	window1: blendMode = 'avg'
18.5639 	EXP 	window1: blendMode = 'avg'
18.5645 	EXP 	window1: blendMode = 'avg'
18.5825 	EXP 	window1: blendMode = 'avg'
18.5831 	EXP 	window1: blendMode = 'avg'
18.5838 	EXP 	window1: blendMode = 'avg'
18.6027 	EXP 	window1: blendMode = 'avg'
18.6034 	EXP 	window1: blendMode = 'avg'
18.6040 	EXP 	window1: blendMode = 'avg'
18.6231 	EXP 	window1: blendMode = 'avg'
18.6238 	EXP 	window1: blendMode = 'avg'
18.6245 	EXP 	window1: blendMode = 'avg'
18.6438 	EXP 	window1: blendMode = 'avg'
18.6445 	EXP 	window1: blendMode = 'avg'
18.6453 	EXP 	window1: blendMode = 'avg'
18.6626 	EXP 	window1: blendMode = 'avg'
18.6633 	EXP 	window1: blendMode = 'avg'
18.6639 	EXP 	window1: blendMode = 'avg'
18.6832 	EXP 	window1: blendMode = 'avg'
18.6839 	EXP 	window1: blendMode = 'avg'
18.6845 	EXP 	window1: blendMode = 'avg'
18.7021 	EXP 	window1: blendMode = 'avg'
