12.0972 	ERROR 	avbin.dll failed to load. Try importing psychopy.visual
  as the first library (before anything that uses scipy)
  and make sure that avbin is installed.
25.8124 	DATA 	Mouse: Left button down, pos=(950,19)
25.8128 	DATA 	Mouse:  Left button up, pos=(950,19)
26.2317 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.95,  0.95,  0.95]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1AEE4650>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1600,  900]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
26.2318 	EXP 	window1: recordFrameIntervals = False
26.4279 	EXP 	window1: recordFrameIntervals = True
26.6478 	EXP 	window1: recordFrameIntervals = False
27.1099 	EXP 	Created Orientation_Cue = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='Orientation_Cue', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'\u25cb', units=u'norm', win=Window(...), wrapWidth=1)
27.1242 	EXP 	Created Ready_Cue = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='Ready_Cue', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'\u23fa', units=u'norm', win=Window(...), wrapWidth=1)
27.1590 	EXP 	Created Zoid_Left = ShapeStim(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=-3.0, fillColor=array([ 0.05,  0.05,  0.05]), fillColorSpace='rgb', interpolate=True, lineColor=array([ 1.,  1.,  1.]), lineColorSpace='rgb', lineWidth=1, name='Zoid_Left', opacity=1.0, ori=array(0.0), pos=array([-5.,  0.]), size=array([ 1.,  1.]), units='cm', vertices=ndarray(...), win=Window(...), windingRule=None)
27.1606 	EXP 	Created Zoid_Right = ShapeStim(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=-4.0, fillColor=array([ 0.05,  0.05,  0.05]), fillColorSpace='rgb', interpolate=True, lineColor=array([ 1.,  1.,  1.]), lineColorSpace='rgb', lineWidth=1, name='Zoid_Right', opacity=1.0, ori=array(0.0), pos=array([ 5.,  0.]), size=array([ 1.,  1.]), units='cm', vertices=ndarray(...), win=Window(...), windingRule=None)
27.2549 	EXP 	Created Button_Instructions = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.07, italic=False, name='Button_Instructions', opacity=1.0, ori=0, pos=array([ 0. ,  0.5]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
27.2674 	EXP 	Created x_instruction = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'tomato', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.07, italic=False, name='x_instruction', opacity=1.0, ori=0, pos=array([-0.5, -0.8]), rgb=array([ 255.,   99.,   71.]), text=u'DIFFERENT\nx', units=u'norm', win=Window(...), wrapWidth=1)
27.2761 	EXP 	Created m_instruction = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'lightseagreen', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.07, italic=False, name='m_instruction', opacity=1.0, ori=0, pos=array([ 0.5, -0.8]), rgb=array([  32.,  178.,  170.]), text=u'SAME\nm', units=u'norm', win=Window(...), wrapWidth=1)
27.2957 	EXP 	Created Feedback_Screen = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='Feedback_Screen', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'Placeholder_text', units=u'norm', win=Window(...), wrapWidth=1)
27.2995 	EXP 	window1: blendMode = 'avg'
27.3004 	EXP 	window1: blendMode = 'avg'
27.3008 	EXP 	window1: blendMode = 'avg'
27.3097 	EXP 	x_instruction: autoDraw = True
27.3097 	EXP 	m_instruction: autoDraw = True
27.3097 	EXP 	Button_Instructions: autoDraw = True
32.3120 	EXP 	Created sequence: random, trialTypes=1, nReps=121, seed=None
33.7265 	EXP 	New trial (rep=0, index=0): None
33.7273 	EXP 	window1: blendMode = 'avg'
33.7275 	EXP 	window1: blendMode = 'avg'
33.7278 	EXP 	window1: blendMode = 'avg'
33.7347 	EXP 	Button_Instructions: autoDraw = False
33.7347 	EXP 	Zoid_Left: vertices = ((0, -0.5), (-1, -0.5), (-1, -1.5), (1, -1.5), (1, 1.5), (0, 1.5))
33.7347 	EXP 	Zoid_Left: ori = 180
33.7347 	EXP 	Zoid_Right: vertices = ((0, -0.5), (1, -0.5), (1, -1.5), (-1, -1.5), (-1, 1.5), (0, 1.5))
33.7347 	EXP 	Zoid_Right: ori = 270
33.7347 	EXP 	Orientation_Cue: autoDraw = True
33.7353 	EXP 	window1: blendMode = 'avg'
33.7356 	EXP 	window1: blendMode = 'avg'
33.7358 	EXP 	window1: blendMode = 'avg'
33.7447 	EXP 	window1: blendMode = 'avg'
33.7449 	EXP 	window1: blendMode = 'avg'
33.7451 	EXP 	window1: blendMode = 'avg'
33.7649 	EXP 	window1: blendMode = 'avg'
33.7654 	EXP 	window1: blendMode = 'avg'
33.7657 	EXP 	window1: blendMode = 'avg'
33.7886 	EXP 	window1: blendMode = 'avg'
33.7895 	EXP 	window1: blendMode = 'avg'
33.7903 	EXP 	window1: blendMode = 'avg'
33.8071 	EXP 	window1: blendMode = 'avg'
33.8078 	EXP 	window1: blendMode = 'avg'
33.8084 	EXP 	window1: blendMode = 'avg'
33.8258 	EXP 	window1: blendMode = 'avg'
33.8265 	EXP 	window1: blendMode = 'avg'
33.8271 	EXP 	window1: blendMode = 'avg'
33.8461 	EXP 	window1: blendMode = 'avg'
33.8469 	EXP 	window1: blendMode = 'avg'
33.8475 	EXP 	window1: blendMode = 'avg'
33.8680 	EXP 	window1: blendMode = 'avg'
33.8687 	EXP 	window1: blendMode = 'avg'
33.8702 	EXP 	window1: blendMode = 'avg'
33.8865 	EXP 	window1: blendMode = 'avg'
33.8872 	EXP 	window1: blendMode = 'avg'
33.8879 	EXP 	window1: blendMode = 'avg'
33.9075 	EXP 	window1: blendMode = 'avg'
33.9082 	EXP 	window1: blendMode = 'avg'
33.9089 	EXP 	window1: blendMode = 'avg'
33.9263 	EXP 	window1: blendMode = 'avg'
33.9271 	EXP 	window1: blendMode = 'avg'
33.9278 	EXP 	window1: blendMode = 'avg'
33.9463 	EXP 	window1: blendMode = 'avg'
33.9471 	EXP 	window1: blendMode = 'avg'
33.9479 	EXP 	window1: blendMode = 'avg'
33.9672 	EXP 	window1: blendMode = 'avg'
33.9680 	EXP 	window1: blendMode = 'avg'
33.9686 	EXP 	window1: blendMode = 'avg'
33.9868 	EXP 	window1: blendMode = 'avg'
33.9875 	EXP 	window1: blendMode = 'avg'
33.9882 	EXP 	window1: blendMode = 'avg'
34.0069 	EXP 	window1: blendMode = 'avg'
34.0076 	EXP 	window1: blendMode = 'avg'
34.0083 	EXP 	window1: blendMode = 'avg'
34.0276 	EXP 	window1: blendMode = 'avg'
34.0284 	EXP 	window1: blendMode = 'avg'
34.0292 	EXP 	window1: blendMode = 'avg'
34.0472 	EXP 	window1: blendMode = 'avg'
34.0479 	EXP 	window1: blendMode = 'avg'
34.0486 	EXP 	window1: blendMode = 'avg'
34.0664 	EXP 	window1: blendMode = 'avg'
34.0672 	EXP 	window1: blendMode = 'avg'
34.0681 	EXP 	window1: blendMode = 'avg'
34.0872 	EXP 	window1: blendMode = 'avg'
34.0879 	EXP 	window1: blendMode = 'avg'
34.0885 	EXP 	window1: blendMode = 'avg'
34.1072 	EXP 	window1: blendMode = 'avg'
34.1079 	EXP 	window1: blendMode = 'avg'
34.1086 	EXP 	window1: blendMode = 'avg'
34.1284 	EXP 	window1: blendMode = 'avg'
34.1296 	EXP 	window1: blendMode = 'avg'
34.1308 	EXP 	window1: blendMode = 'avg'
34.1479 	EXP 	window1: blendMode = 'avg'
34.1490 	EXP 	window1: blendMode = 'avg'
34.1501 	EXP 	window1: blendMode = 'avg'
34.1679 	EXP 	window1: blendMode = 'avg'
34.1688 	EXP 	window1: blendMode = 'avg'
34.1697 	EXP 	window1: blendMode = 'avg'
34.1882 	EXP 	window1: blendMode = 'avg'
34.1890 	EXP 	window1: blendMode = 'avg'
34.1898 	EXP 	window1: blendMode = 'avg'
34.2075 	EXP 	window1: blendMode = 'avg'
34.2084 	EXP 	window1: blendMode = 'avg'
34.2092 	EXP 	window1: blendMode = 'avg'
34.2283 	EXP 	window1: blendMode = 'avg'
34.2292 	EXP 	window1: blendMode = 'avg'
34.2301 	EXP 	window1: blendMode = 'avg'
34.2485 	EXP 	window1: blendMode = 'avg'
34.2496 	EXP 	window1: blendMode = 'avg'
34.2503 	EXP 	window1: blendMode = 'avg'
34.2677 	EXP 	window1: blendMode = 'avg'
34.2683 	EXP 	window1: blendMode = 'avg'
34.2690 	EXP 	window1: blendMode = 'avg'
34.2865 	EXP 	window1: blendMode = 'avg'
34.2873 	EXP 	window1: blendMode = 'avg'
34.2879 	EXP 	window1: blendMode = 'avg'
34.3077 	EXP 	window1: blendMode = 'avg'
34.3084 	EXP 	window1: blendMode = 'avg'
34.3091 	EXP 	window1: blendMode = 'avg'
34.3263 	EXP 	window1: blendMode = 'avg'
34.3270 	EXP 	window1: blendMode = 'avg'
34.3276 	EXP 	window1: blendMode = 'avg'
34.3467 	EXP 	window1: blendMode = 'avg'
34.3475 	EXP 	window1: blendMode = 'avg'
34.3483 	EXP 	window1: blendMode = 'avg'
34.3672 	EXP 	window1: blendMode = 'avg'
34.3680 	EXP 	window1: blendMode = 'avg'
34.3687 	EXP 	window1: blendMode = 'avg'
34.3863 	EXP 	window1: blendMode = 'avg'
34.3870 	EXP 	window1: blendMode = 'avg'
34.3876 	EXP 	window1: blendMode = 'avg'
34.4065 	EXP 	window1: blendMode = 'avg'
34.4073 	EXP 	window1: blendMode = 'avg'
34.4079 	EXP 	window1: blendMode = 'avg'
34.4290 	EXP 	window1: blendMode = 'avg'
34.4298 	EXP 	window1: blendMode = 'avg'
34.4304 	EXP 	window1: blendMode = 'avg'
34.4469 	EXP 	window1: blendMode = 'avg'
34.4476 	EXP 	window1: blendMode = 'avg'
34.4483 	EXP 	window1: blendMode = 'avg'
34.4663 	EXP 	window1: blendMode = 'avg'
34.4670 	EXP 	window1: blendMode = 'avg'
34.4678 	EXP 	window1: blendMode = 'avg'
34.4870 	EXP 	window1: blendMode = 'avg'
34.4878 	EXP 	window1: blendMode = 'avg'
34.4885 	EXP 	window1: blendMode = 'avg'
34.5063 	EXP 	window1: blendMode = 'avg'
34.5070 	EXP 	window1: blendMode = 'avg'
34.5076 	EXP 	window1: blendMode = 'avg'
34.5277 	EXP 	window1: blendMode = 'avg'
34.5284 	EXP 	window1: blendMode = 'avg'
34.5291 	EXP 	window1: blendMode = 'avg'
34.5471 	EXP 	window1: blendMode = 'avg'
34.5479 	EXP 	window1: blendMode = 'avg'
34.5487 	EXP 	window1: blendMode = 'avg'
34.5668 	EXP 	window1: blendMode = 'avg'
34.5675 	EXP 	window1: blendMode = 'avg'
34.5681 	EXP 	window1: blendMode = 'avg'
34.5865 	EXP 	window1: blendMode = 'avg'
34.5875 	EXP 	window1: blendMode = 'avg'
34.5886 	EXP 	window1: blendMode = 'avg'
34.6071 	EXP 	window1: blendMode = 'avg'
34.6078 	EXP 	window1: blendMode = 'avg'
34.6085 	EXP 	window1: blendMode = 'avg'
34.6271 	EXP 	window1: blendMode = 'avg'
34.6279 	EXP 	window1: blendMode = 'avg'
34.6285 	EXP 	window1: blendMode = 'avg'
34.6467 	EXP 	window1: blendMode = 'avg'
34.6476 	EXP 	window1: blendMode = 'avg'
34.6483 	EXP 	window1: blendMode = 'avg'
34.6667 	EXP 	window1: blendMode = 'avg'
34.6674 	EXP 	window1: blendMode = 'avg'
34.6681 	EXP 	window1: blendMode = 'avg'
34.6866 	EXP 	window1: blendMode = 'avg'
34.6873 	EXP 	window1: blendMode = 'avg'
34.6880 	EXP 	window1: blendMode = 'avg'
34.7070 	EXP 	window1: blendMode = 'avg'
34.7078 	EXP 	window1: blendMode = 'avg'
34.7086 	EXP 	window1: blendMode = 'avg'
34.7282 	EXP 	window1: blendMode = 'avg'
34.7294 	EXP 	window1: blendMode = 'avg'
34.7306 	EXP 	window1: blendMode = 'avg'
34.7489 	EXP 	window1: blendMode = 'avg'
34.7500 	EXP 	window1: blendMode = 'avg'
34.7513 	EXP 	window1: blendMode = 'avg'
34.7653 	EXP 	window1: blendMode = 'avg'
34.7659 	EXP 	window1: blendMode = 'avg'
34.7664 	EXP 	window1: blendMode = 'avg'
34.7851 	EXP 	window1: blendMode = 'avg'
34.7856 	EXP 	window1: blendMode = 'avg'
34.7861 	EXP 	window1: blendMode = 'avg'
34.8062 	EXP 	window1: blendMode = 'avg'
