trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Block_Number,Trial_Number,Subject_Key,Correct_Key,Subject_Response,Correct_Response,Answered_Correctly,Left_Zoid,Left_Zoid_Orientation,Right_Zoid,Right_Zoid_Orientation,Response.rt,date,frameRate,expName,session,participant,
0,0,0,0,0,0,x,x,yes,yes,True,l,270,l,0,3.47900787229,2018_01_24_1607,49.9959898837,PL-Tetris_2,001,0,
1,0,1,0,0,1,m,m,no,no,True,j,270,s,90,2.3618476796,2018_01_24_1607,49.9959898837,PL-Tetris_2,001,0,
2,0,2,0,0,2,m,m,no,no,True,l,0,z,0,1.98049934069,2018_01_24_1607,49.9959898837,PL-Tetris_2,001,0,
3,0,3,0,0,3,m,m,no,no,True,j,270,z,90,0.622682255926,2018_01_24_1607,49.9959898837,PL-Tetris_2,001,0,
4,0,4,0,0,4,x,x,yes,yes,True,z,90,z,90,1.90154217859,2018_01_24_1607,49.9959898837,PL-Tetris_2,001,0,
5,0,5,0,0,5,m,m,no,no,True,l,90,j,180,1.6009049546,2018_01_24_1607,49.9959898837,PL-Tetris_2,001,0,
6,0,6,0,0,6,m,m,no,no,True,t,90,l,90,0.781175148673,2018_01_24_1607,49.9959898837,PL-Tetris_2,001,0,
7,0,7,0,0,7,x,x,yes,yes,True,l,0,l,180,1.56069365912,2018_01_24_1607,49.9959898837,PL-Tetris_2,001,0,
8,0,8,0,0,8,x,x,yes,yes,True,l,270,l,90,1.98039100156,2018_01_24_1607,49.9959898837,PL-Tetris_2,001,0,
