13.3311 	ERROR 	avbin.dll failed to load. Try importing psychopy.visual
  as the first library (before anything that uses scipy)
  and make sure that avbin is installed.
31.8702 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.95,  0.95,  0.95]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1A6EE690>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1600,  900]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
31.8703 	EXP 	window1: recordFrameIntervals = False
32.0663 	EXP 	window1: recordFrameIntervals = True
32.2874 	EXP 	window1: recordFrameIntervals = False
35.2286 	EXP 	Created Orientation_Cue = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='Orientation_Cue', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'\u25cb', units=u'norm', win=Window(...), wrapWidth=1)
35.2686 	EXP 	Created Ready_Cue = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='Ready_Cue', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'\u23fa', units=u'norm', win=Window(...), wrapWidth=1)
35.3206 	EXP 	Created Zoid_Left = ShapeStim(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=-3.0, fillColor=array([ 0.05,  0.05,  0.05]), fillColorSpace='rgb', interpolate=True, lineColor=array([ 1.,  1.,  1.]), lineColorSpace='rgb', lineWidth=1, name='Zoid_Left', opacity=1.0, ori=array(0.0), pos=array([-5.,  0.]), size=array([ 1.,  1.]), units='cm', vertices=ndarray(...), win=Window(...), windingRule=None)
35.3228 	EXP 	Created Zoid_Right = ShapeStim(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=-4.0, fillColor=array([ 0.05,  0.05,  0.05]), fillColorSpace='rgb', interpolate=True, lineColor=array([ 1.,  1.,  1.]), lineColorSpace='rgb', lineWidth=1, name='Zoid_Right', opacity=1.0, ori=array(0.0), pos=array([ 5.,  0.]), size=array([ 1.,  1.]), units='cm', vertices=ndarray(...), win=Window(...), windingRule=None)
35.4672 	EXP 	Created Button_Instructions = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.07, italic=False, name='Button_Instructions', opacity=1.0, ori=0, pos=array([ 0. ,  0.5]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
35.4907 	EXP 	Created x_instruction = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'tomato', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='x_instruction', opacity=1.0, ori=0, pos=array([-0.7, -0.8]), rgb=array([ 255.,   99.,   71.]), text=u'DIFFERENT\nx', units=u'norm', win=Window(...), wrapWidth=1)
35.5052 	EXP 	Created m_instruction = TextStim(alignHoriz='right', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'lightseagreen', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='m_instruction', opacity=1.0, ori=0, pos=array([ 0.7, -0.8]), rgb=array([  32.,  178.,  170.]), text=u'SAME\nm', units=u'norm', win=Window(...), wrapWidth=1)
35.5334 	EXP 	Created Feedback_Screen = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='Feedback_Screen', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'Placeholder_text', units=u'norm', win=Window(...), wrapWidth=1)
35.5373 	EXP 	window1: blendMode = 'avg'
35.5387 	EXP 	window1: blendMode = 'avg'
35.5394 	EXP 	window1: blendMode = 'avg'
35.5499 	EXP 	x_instruction: autoDraw = True
35.5499 	EXP 	m_instruction: autoDraw = True
35.5499 	EXP 	Button_Instructions: autoDraw = True
40.3512 	DATA 	Mouse: Left button down, pos=(712,572)
40.3516 	DATA 	Mouse:  Left button up, pos=(712,572)
40.5515 	EXP 	Created sequence: random, trialTypes=1, nReps=121, seed=None
41.2221 	EXP 	New trial (rep=0, index=0): None
41.2236 	EXP 	window1: blendMode = 'avg'
41.2240 	EXP 	window1: blendMode = 'avg'
41.2250 	EXP 	window1: blendMode = 'avg'
41.2323 	EXP 	Button_Instructions: autoDraw = False
41.2323 	EXP 	Zoid_Left: vertices = ((0, -0.5), (-1, -0.5), (-1, -1.5), (1, -1.5), (1, 1.5), (0, 1.5))
41.2323 	EXP 	Zoid_Left: ori = 180
41.2323 	EXP 	Zoid_Right: vertices = ((0, -0.5), (-1, -0.5), (-1, -1.5), (1, -1.5), (1, 1.5), (0, 1.5))
41.2323 	EXP 	Zoid_Right: ori = 0
41.2323 	EXP 	Orientation_Cue: autoDraw = True
41.2333 	EXP 	window1: blendMode = 'avg'
41.2337 	EXP 	window1: blendMode = 'avg'
41.2341 	EXP 	window1: blendMode = 'avg'
41.2439 	EXP 	window1: blendMode = 'avg'
41.2444 	EXP 	window1: blendMode = 'avg'
41.2448 	EXP 	window1: blendMode = 'avg'
41.2634 	EXP 	window1: blendMode = 'avg'
41.2639 	EXP 	window1: blendMode = 'avg'
41.2643 	EXP 	window1: blendMode = 'avg'
41.2857 	EXP 	window1: blendMode = 'avg'
41.2865 	EXP 	window1: blendMode = 'avg'
41.2872 	EXP 	window1: blendMode = 'avg'
41.3058 	EXP 	window1: blendMode = 'avg'
41.3065 	EXP 	window1: blendMode = 'avg'
41.3072 	EXP 	window1: blendMode = 'avg'
41.3268 	EXP 	window1: blendMode = 'avg'
41.3279 	EXP 	window1: blendMode = 'avg'
41.3287 	EXP 	window1: blendMode = 'avg'
41.3451 	EXP 	window1: blendMode = 'avg'
41.3458 	EXP 	window1: blendMode = 'avg'
41.3465 	EXP 	window1: blendMode = 'avg'
41.3665 	EXP 	window1: blendMode = 'avg'
41.3677 	EXP 	window1: blendMode = 'avg'
41.3685 	EXP 	window1: blendMode = 'avg'
41.3886 	EXP 	window1: blendMode = 'avg'
41.3894 	EXP 	window1: blendMode = 'avg'
41.3901 	EXP 	window1: blendMode = 'avg'
41.4062 	EXP 	window1: blendMode = 'avg'
41.4070 	EXP 	window1: blendMode = 'avg'
41.4077 	EXP 	window1: blendMode = 'avg'
41.4269 	EXP 	window1: blendMode = 'avg'
41.4276 	EXP 	window1: blendMode = 'avg'
41.4283 	EXP 	window1: blendMode = 'avg'
41.4473 	EXP 	window1: blendMode = 'avg'
41.4482 	EXP 	window1: blendMode = 'avg'
41.4491 	EXP 	window1: blendMode = 'avg'
41.4659 	EXP 	window1: blendMode = 'avg'
41.4669 	EXP 	window1: blendMode = 'avg'
41.4680 	EXP 	window1: blendMode = 'avg'
41.4866 	EXP 	window1: blendMode = 'avg'
41.4877 	EXP 	window1: blendMode = 'avg'
41.4888 	EXP 	window1: blendMode = 'avg'
41.5064 	EXP 	window1: blendMode = 'avg'
41.5073 	EXP 	window1: blendMode = 'avg'
41.5080 	EXP 	window1: blendMode = 'avg'
41.5254 	EXP 	window1: blendMode = 'avg'
41.5261 	EXP 	window1: blendMode = 'avg'
41.5268 	EXP 	window1: blendMode = 'avg'
41.5453 	EXP 	window1: blendMode = 'avg'
41.5463 	EXP 	window1: blendMode = 'avg'
41.5470 	EXP 	window1: blendMode = 'avg'
41.5652 	EXP 	window1: blendMode = 'avg'
41.5662 	EXP 	window1: blendMode = 'avg'
41.5670 	EXP 	window1: blendMode = 'avg'
41.5852 	EXP 	window1: blendMode = 'avg'
41.5859 	EXP 	window1: blendMode = 'avg'
41.5865 	EXP 	window1: blendMode = 'avg'
41.6070 	EXP 	window1: blendMode = 'avg'
41.6078 	EXP 	window1: blendMode = 'avg'
41.6085 	EXP 	window1: blendMode = 'avg'
41.6255 	EXP 	window1: blendMode = 'avg'
41.6262 	EXP 	window1: blendMode = 'avg'
41.6270 	EXP 	window1: blendMode = 'avg'
41.6452 	EXP 	window1: blendMode = 'avg'
41.6460 	EXP 	window1: blendMode = 'avg'
41.6467 	EXP 	window1: blendMode = 'avg'
41.6657 	EXP 	window1: blendMode = 'avg'
41.6664 	EXP 	window1: blendMode = 'avg'
41.6672 	EXP 	window1: blendMode = 'avg'
41.6856 	EXP 	window1: blendMode = 'avg'
41.6863 	EXP 	window1: blendMode = 'avg'
41.6869 	EXP 	window1: blendMode = 'avg'
41.7052 	EXP 	window1: blendMode = 'avg'
41.7061 	EXP 	window1: blendMode = 'avg'
41.7069 	EXP 	window1: blendMode = 'avg'
41.7269 	EXP 	window1: blendMode = 'avg'
41.7277 	EXP 	window1: blendMode = 'avg'
41.7284 	EXP 	window1: blendMode = 'avg'
41.7482 	EXP 	window1: blendMode = 'avg'
41.7493 	EXP 	window1: blendMode = 'avg'
41.7501 	EXP 	window1: blendMode = 'avg'
41.7649 	EXP 	window1: blendMode = 'avg'
41.7657 	EXP 	window1: blendMode = 'avg'
41.7665 	EXP 	window1: blendMode = 'avg'
41.7862 	EXP 	window1: blendMode = 'avg'
41.7870 	EXP 	window1: blendMode = 'avg'
41.7877 	EXP 	window1: blendMode = 'avg'
41.8059 	EXP 	window1: blendMode = 'avg'
41.8069 	EXP 	window1: blendMode = 'avg'
41.8078 	EXP 	window1: blendMode = 'avg'
41.8273 	EXP 	window1: blendMode = 'avg'
41.8280 	EXP 	window1: blendMode = 'avg'
41.8288 	EXP 	window1: blendMode = 'avg'
41.8450 	EXP 	window1: blendMode = 'avg'
41.8458 	EXP 	window1: blendMode = 'avg'
41.8466 	EXP 	window1: blendMode = 'avg'
41.8652 	EXP 	window1: blendMode = 'avg'
41.8660 	EXP 	window1: blendMode = 'avg'
41.8666 	EXP 	window1: blendMode = 'avg'
41.8856 	EXP 	window1: blendMode = 'avg'
41.8865 	EXP 	window1: blendMode = 'avg'
41.8873 	EXP 	window1: blendMode = 'avg'
41.9051 	EXP 	window1: blendMode = 'avg'
41.9059 	EXP 	window1: blendMode = 'avg'
41.9065 	EXP 	window1: blendMode = 'avg'
41.9254 	EXP 	window1: blendMode = 'avg'
41.9261 	EXP 	window1: blendMode = 'avg'
41.9268 	EXP 	window1: blendMode = 'avg'
41.9461 	EXP 	window1: blendMode = 'avg'
41.9469 	EXP 	window1: blendMode = 'avg'
41.9475 	EXP 	window1: blendMode = 'avg'
41.9650 	EXP 	window1: blendMode = 'avg'
41.9659 	EXP 	window1: blendMode = 'avg'
41.9669 	EXP 	window1: blendMode = 'avg'
41.9849 	EXP 	window1: blendMode = 'avg'
41.9856 	EXP 	window1: blendMode = 'avg'
41.9864 	EXP 	window1: blendMode = 'avg'
42.0060 	EXP 	window1: blendMode = 'avg'
42.0067 	EXP 	window1: blendMode = 'avg'
42.0074 	EXP 	window1: blendMode = 'avg'
42.0258 	EXP 	window1: blendMode = 'avg'
42.0267 	EXP 	window1: blendMode = 'avg'
42.0274 	EXP 	window1: blendMode = 'avg'
42.0450 	EXP 	window1: blendMode = 'avg'
42.0458 	EXP 	window1: blendMode = 'avg'
42.0465 	EXP 	window1: blendMode = 'avg'
42.0658 	EXP 	window1: blendMode = 'avg'
42.0667 	EXP 	window1: blendMode = 'avg'
42.0675 	EXP 	window1: blendMode = 'avg'
42.0855 	EXP 	window1: blendMode = 'avg'
42.0862 	EXP 	window1: blendMode = 'avg'
42.0869 	EXP 	window1: blendMode = 'avg'
42.1053 	EXP 	window1: blendMode = 'avg'
42.1060 	EXP 	window1: blendMode = 'avg'
42.1067 	EXP 	window1: blendMode = 'avg'
42.1259 	EXP 	window1: blendMode = 'avg'
42.1267 	EXP 	window1: blendMode = 'avg'
42.1274 	EXP 	window1: blendMode = 'avg'
42.1450 	EXP 	window1: blendMode = 'avg'
42.1457 	EXP 	window1: blendMode = 'avg'
42.1464 	EXP 	window1: blendMode = 'avg'
42.1663 	EXP 	window1: blendMode = 'avg'
42.1675 	EXP 	window1: blendMode = 'avg'
42.1686 	EXP 	window1: blendMode = 'avg'
42.1853 	EXP 	window1: blendMode = 'avg'
42.1860 	EXP 	window1: blendMode = 'avg'
42.1867 	EXP 	window1: blendMode = 'avg'
42.2054 	EXP 	window1: blendMode = 'avg'
42.2062 	EXP 	window1: blendMode = 'avg'
42.2069 	EXP 	window1: blendMode = 'avg'
42.2250 	EXP 	window1: blendMode = 'avg'
42.2257 	EXP 	window1: blendMode = 'avg'
42.2264 	EXP 	window1: blendMode = 'avg'
42.2450 	EXP 	window1: blendMode = 'avg'
42.2458 	EXP 	window1: blendMode = 'avg'
42.2469 	EXP 	window1: blendMode = 'avg'
42.2649 	EXP 	window1: blendMode = 'avg'
42.2659 	EXP 	window1: blendMode = 'avg'
42.2666 	EXP 	window1: blendMode = 'avg'
42.2855 	EXP 	window1: blendMode = 'avg'
42.2862 	EXP 	window1: blendMode = 'avg'
42.2869 	EXP 	window1: blendMode = 'avg'
42.3057 	EXP 	window1: blendMode = 'avg'
