3.2039 	ERROR 	avbin.dll failed to load. Try importing psychopy.visual
  as the first library (before anything that uses scipy)
  and make sure that avbin is installed.
19.1785 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.95,  0.95,  0.95]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1A6DB6D0>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1600,  900]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
19.1785 	EXP 	window1: recordFrameIntervals = False
19.3798 	EXP 	window1: recordFrameIntervals = True
19.7778 	EXP 	window1: recordFrameIntervals = False
20.2596 	EXP 	Created Orientation_Cue = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='Orientation_Cue', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'\u25cb', units=u'norm', win=Window(...), wrapWidth=1)
20.2739 	EXP 	Created Ready_Cue = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='Ready_Cue', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'\u23fa', units=u'norm', win=Window(...), wrapWidth=1)
20.2863 	EXP 	Created Zoid_Left = ShapeStim(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=-3.0, fillColor=array([ 0.05,  0.05,  0.05]), fillColorSpace='rgb', interpolate=True, lineColor=array([ 1.,  1.,  1.]), lineColorSpace='rgb', lineWidth=1, name='Zoid_Left', opacity=1.0, ori=array(0.0), pos=array([-5.,  0.]), size=array([ 1.,  1.]), units='cm', vertices=ndarray(...), win=Window(...), windingRule=None)
20.2876 	EXP 	Created Zoid_Right = ShapeStim(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=-4.0, fillColor=array([ 0.05,  0.05,  0.05]), fillColorSpace='rgb', interpolate=True, lineColor=array([ 1.,  1.,  1.]), lineColorSpace='rgb', lineWidth=1, name='Zoid_Right', opacity=1.0, ori=array(0.0), pos=array([ 5.,  0.]), size=array([ 1.,  1.]), units='cm', vertices=ndarray(...), win=Window(...), windingRule=None)
20.3906 	EXP 	Created Button_Instructions = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.07, italic=False, name='Button_Instructions', opacity=1.0, ori=0, pos=array([ 0. ,  0.5]), rgb=array([ 0.,  0.,  0.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
20.4060 	EXP 	Created x_instruction = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'tomato', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Yu Gothic UI', fontFiles=[], height=0.1, italic=False, name='x_instruction', opacity=1.0, ori=0, pos=array([-0.7, -0.8]), rgb=array([ 255.,   99.,   71.]), text=u'SAME\nZ', units=u'norm', win=Window(...), wrapWidth=1)
20.4200 	EXP 	Created m_instruction = TextStim(alignHoriz='right', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'lightseagreen', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Yu Gothic UI', fontFiles=[], height=0.1, italic=False, name='m_instruction', opacity=1.0, ori=0, pos=array([ 0.7, -0.8]), rgb=array([  32.,  178.,  170.]), text=u'DIFFERENT\nM', units=u'norm', win=Window(...), wrapWidth=1)
20.4403 	EXP 	Created Feedback_Screen = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='Feedback_Screen', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'Placeholder_text', units=u'norm', win=Window(...), wrapWidth=1)
20.4418 	EXP 	window1: blendMode = 'avg'
20.4423 	EXP 	window1: blendMode = 'avg'
20.4427 	EXP 	window1: blendMode = 'avg'
20.4516 	EXP 	x_instruction: autoDraw = True
20.4516 	EXP 	m_instruction: autoDraw = True
20.4516 	EXP 	Button_Instructions: autoDraw = True
25.4528 	EXP 	Created sequence: random, trialTypes=1, nReps=121, seed=None
25.8431 	EXP 	New trial (rep=0, index=0): None
25.8439 	EXP 	window1: blendMode = 'avg'
25.8441 	EXP 	window1: blendMode = 'avg'
25.8445 	EXP 	window1: blendMode = 'avg'
25.8513 	EXP 	Button_Instructions: autoDraw = False
25.8513 	EXP 	Zoid_Left: vertices = ((0, -0.5), (1, -0.5), (1, -1.5), (-1, -1.5), (-1, 1.5), (0, 1.5))
25.8513 	EXP 	Zoid_Left: ori = 270
25.8513 	EXP 	Zoid_Right: vertices = ((0.5, 0), (1.5, 0), (1.5, 1), (-0.5, 1), (-0.5, 0), (-1.5, 0), (-1.5, -1), (0.5, -1))
25.8513 	EXP 	Zoid_Right: ori = 0
25.8513 	EXP 	Orientation_Cue: autoDraw = True
25.8520 	EXP 	window1: blendMode = 'avg'
25.8523 	EXP 	window1: blendMode = 'avg'
25.8526 	EXP 	window1: blendMode = 'avg'
25.8750 	EXP 	window1: blendMode = 'avg'
25.8753 	EXP 	window1: blendMode = 'avg'
25.8755 	EXP 	window1: blendMode = 'avg'
25.8959 	EXP 	window1: blendMode = 'avg'
25.8963 	EXP 	window1: blendMode = 'avg'
25.8966 	EXP 	window1: blendMode = 'avg'
25.9169 	EXP 	window1: blendMode = 'avg'
25.9174 	EXP 	window1: blendMode = 'avg'
25.9178 	EXP 	window1: blendMode = 'avg'
25.9374 	EXP 	window1: blendMode = 'avg'
25.9380 	EXP 	window1: blendMode = 'avg'
25.9384 	EXP 	window1: blendMode = 'avg'
25.9574 	EXP 	window1: blendMode = 'avg'
25.9578 	EXP 	window1: blendMode = 'avg'
25.9582 	EXP 	window1: blendMode = 'avg'
25.9771 	EXP 	window1: blendMode = 'avg'
25.9775 	EXP 	window1: blendMode = 'avg'
25.9780 	EXP 	window1: blendMode = 'avg'
25.9969 	EXP 	window1: blendMode = 'avg'
25.9973 	EXP 	window1: blendMode = 'avg'
25.9978 	EXP 	window1: blendMode = 'avg'
26.0171 	EXP 	window1: blendMode = 'avg'
26.0175 	EXP 	window1: blendMode = 'avg'
26.0179 	EXP 	window1: blendMode = 'avg'
26.0377 	EXP 	window1: blendMode = 'avg'
26.0381 	EXP 	window1: blendMode = 'avg'
26.0385 	EXP 	window1: blendMode = 'avg'
26.0574 	EXP 	window1: blendMode = 'avg'
26.0581 	EXP 	window1: blendMode = 'avg'
26.0586 	EXP 	window1: blendMode = 'avg'
26.0780 	EXP 	window1: blendMode = 'avg'
26.0787 	EXP 	window1: blendMode = 'avg'
26.0793 	EXP 	window1: blendMode = 'avg'
26.0965 	EXP 	window1: blendMode = 'avg'
26.0969 	EXP 	window1: blendMode = 'avg'
26.0973 	EXP 	window1: blendMode = 'avg'
26.1172 	EXP 	window1: blendMode = 'avg'
26.1178 	EXP 	window1: blendMode = 'avg'
26.1185 	EXP 	window1: blendMode = 'avg'
26.1378 	EXP 	window1: blendMode = 'avg'
26.1383 	EXP 	window1: blendMode = 'avg'
26.1388 	EXP 	window1: blendMode = 'avg'
26.1575 	EXP 	window1: blendMode = 'avg'
26.1579 	EXP 	window1: blendMode = 'avg'
26.1583 	EXP 	window1: blendMode = 'avg'
26.1755 	EXP 	window1: blendMode = 'avg'
26.1759 	EXP 	window1: blendMode = 'avg'
26.1763 	EXP 	window1: blendMode = 'avg'
26.1960 	EXP 	window1: blendMode = 'avg'
26.1963 	EXP 	window1: blendMode = 'avg'
26.1965 	EXP 	window1: blendMode = 'avg'
26.2162 	EXP 	window1: blendMode = 'avg'
26.2166 	EXP 	window1: blendMode = 'avg'
26.2170 	EXP 	window1: blendMode = 'avg'
26.2379 	EXP 	window1: blendMode = 'avg'
26.2383 	EXP 	window1: blendMode = 'avg'
26.2387 	EXP 	window1: blendMode = 'avg'
26.2588 	EXP 	window1: blendMode = 'avg'
26.2599 	EXP 	window1: blendMode = 'avg'
26.2609 	EXP 	window1: blendMode = 'avg'
26.2779 	EXP 	window1: blendMode = 'avg'
26.2786 	EXP 	window1: blendMode = 'avg'
26.2791 	EXP 	window1: blendMode = 'avg'
26.2977 	EXP 	window1: blendMode = 'avg'
26.2981 	EXP 	window1: blendMode = 'avg'
26.2985 	EXP 	window1: blendMode = 'avg'
26.3173 	EXP 	window1: blendMode = 'avg'
26.3179 	EXP 	window1: blendMode = 'avg'
26.3183 	EXP 	window1: blendMode = 'avg'
26.3375 	EXP 	window1: blendMode = 'avg'
26.3381 	EXP 	window1: blendMode = 'avg'
26.3388 	EXP 	window1: blendMode = 'avg'
26.3581 	EXP 	window1: blendMode = 'avg'
26.3588 	EXP 	window1: blendMode = 'avg'
26.3594 	EXP 	window1: blendMode = 'avg'
26.3782 	EXP 	window1: blendMode = 'avg'
26.3787 	EXP 	window1: blendMode = 'avg'
26.3790 	EXP 	window1: blendMode = 'avg'
26.3966 	EXP 	window1: blendMode = 'avg'
26.3970 	EXP 	window1: blendMode = 'avg'
26.3974 	EXP 	window1: blendMode = 'avg'
26.4169 	EXP 	window1: blendMode = 'avg'
26.4173 	EXP 	window1: blendMode = 'avg'
26.4177 	EXP 	window1: blendMode = 'avg'
26.4376 	EXP 	window1: blendMode = 'avg'
26.4380 	EXP 	window1: blendMode = 'avg'
26.4384 	EXP 	window1: blendMode = 'avg'
26.4568 	EXP 	window1: blendMode = 'avg'
26.4572 	EXP 	window1: blendMode = 'avg'
26.4576 	EXP 	window1: blendMode = 'avg'
26.4771 	EXP 	window1: blendMode = 'avg'
26.4777 	EXP 	window1: blendMode = 'avg'
26.4782 	EXP 	window1: blendMode = 'avg'
26.4975 	EXP 	window1: blendMode = 'avg'
26.4980 	EXP 	window1: blendMode = 'avg'
26.4983 	EXP 	window1: blendMode = 'avg'
26.5168 	EXP 	window1: blendMode = 'avg'
26.5173 	EXP 	window1: blendMode = 'avg'
26.5177 	EXP 	window1: blendMode = 'avg'
26.5368 	EXP 	window1: blendMode = 'avg'
26.5372 	EXP 	window1: blendMode = 'avg'
26.5376 	EXP 	window1: blendMode = 'avg'
26.5576 	EXP 	window1: blendMode = 'avg'
26.5580 	EXP 	window1: blendMode = 'avg'
26.5585 	EXP 	window1: blendMode = 'avg'
26.5774 	EXP 	window1: blendMode = 'avg'
26.5778 	EXP 	window1: blendMode = 'avg'
26.5782 	EXP 	window1: blendMode = 'avg'
26.5976 	EXP 	window1: blendMode = 'avg'
26.5983 	EXP 	window1: blendMode = 'avg'
26.5989 	EXP 	window1: blendMode = 'avg'
26.6169 	EXP 	window1: blendMode = 'avg'
26.6173 	EXP 	window1: blendMode = 'avg'
26.6178 	EXP 	window1: blendMode = 'avg'
26.6369 	EXP 	window1: blendMode = 'avg'
26.6373 	EXP 	window1: blendMode = 'avg'
26.6377 	EXP 	window1: blendMode = 'avg'
26.6569 	EXP 	window1: blendMode = 'avg'
26.6573 	EXP 	window1: blendMode = 'avg'
26.6577 	EXP 	window1: blendMode = 'avg'
26.6773 	EXP 	window1: blendMode = 'avg'
26.6780 	EXP 	window1: blendMode = 'avg'
26.6787 	EXP 	window1: blendMode = 'avg'
26.6966 	EXP 	window1: blendMode = 'avg'
26.6971 	EXP 	window1: blendMode = 'avg'
26.6974 	EXP 	window1: blendMode = 'avg'
26.7166 	EXP 	window1: blendMode = 'avg'
26.7170 	EXP 	window1: blendMode = 'avg'
26.7173 	EXP 	window1: blendMode = 'avg'
26.7374 	EXP 	window1: blendMode = 'avg'
26.7381 	EXP 	window1: blendMode = 'avg'
26.7387 	EXP 	window1: blendMode = 'avg'
26.7587 	EXP 	window1: blendMode = 'avg'
26.7597 	EXP 	window1: blendMode = 'avg'
26.7603 	EXP 	window1: blendMode = 'avg'
26.7793 	EXP 	window1: blendMode = 'avg'
26.7800 	EXP 	window1: blendMode = 'avg'
26.7807 	EXP 	window1: blendMode = 'avg'
26.7986 	EXP 	window1: blendMode = 'avg'
26.7994 	EXP 	window1: blendMode = 'avg'
26.8000 	EXP 	window1: blendMode = 'avg'
26.8184 	EXP 	window1: blendMode = 'avg'
26.8192 	EXP 	window1: blendMode = 'avg'
26.8198 	EXP 	window1: blendMode = 'avg'
26.8391 	EXP 	window1: blendMode = 'avg'
26.8401 	EXP 	window1: blendMode = 'avg'
26.8408 	EXP 	window1: blendMode = 'avg'
26.8599 	EXP 	window1: blendMode = 'avg'
26.8606 	EXP 	window1: blendMode = 'avg'
26.8612 	EXP 	window1: blendMode = 'avg'
26.8793 	EXP 	window1: blendMode = 'avg'
26.8799 	EXP 	window1: blendMode = 'avg'
26.8806 	EXP 	window1: blendMode = 'avg'
26.8996 	EXP 	window1: blendMode = 'avg'
26.9014 	EXP 	window1: blendMode = 'avg'
26.9026 	EXP 	window1: blendMode = 'avg'
26.9187 	EXP 	window1: blendMode = 'avg'
26.9196 	EXP 	window1: blendMode = 'avg'
26.9207 	EXP 	window1: blendMode = 'avg'
26.9403 	EXP 	window1: blendMode = 'avg'
26.9411 	EXP 	window1: blendMode = 'avg'
