trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Block_Number,Trial_Number,Subject_Key,Correct_Key,Subject_Response,Correct_Response,Answered_Correctly,Left_Zoid,Left_Zoid_Orientation,Right_Zoid,Right_Zoid_Orientation,Response.rt,date,frameRate,expName,session,participant,
0,0,0,0,0,0,x,x,no,no,True,j,180,l,270,5.65551204677,2018_01_25_1224,50.2731683457,PL-Tetris_2,001,0,
1,0,1,0,0,1,x,x,no,no,True,j,0,z,90,1.79669196997,2018_01_25_1224,50.2731683457,PL-Tetris_2,001,0,
2,0,2,0,0,2,m,m,yes,yes,True,l,270,l,90,2.24079184094,2018_01_25_1224,50.2731683457,PL-Tetris_2,001,0,
