15.2833 	ERROR 	avbin.dll failed to load. Try importing psychopy.visual
  as the first library (before anything that uses scipy)
  and make sure that avbin is installed.
31.0190 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.95,  0.95,  0.95]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1A3DE6D0>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1600,  900]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
31.0192 	EXP 	window1: recordFrameIntervals = False
31.2140 	EXP 	window1: recordFrameIntervals = True
31.4342 	EXP 	window1: recordFrameIntervals = False
32.2936 	EXP 	Created Orientation_Cue = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='Orientation_Cue', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'\u25cb', units=u'norm', win=Window(...), wrapWidth=1)
32.3159 	EXP 	Created Ready_Cue = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='Ready_Cue', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'\u23fa', units=u'norm', win=Window(...), wrapWidth=1)
32.3887 	EXP 	Created Zoid_Left = ShapeStim(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=-3.0, fillColor=array([ 0.05,  0.05,  0.05]), fillColorSpace='rgb', interpolate=True, lineColor=array([ 1.,  1.,  1.]), lineColorSpace='rgb', lineWidth=1, name='Zoid_Left', opacity=1.0, ori=array(0.0), pos=array([-5.,  0.]), size=array([ 1.,  1.]), units='cm', vertices=ndarray(...), win=Window(...), windingRule=None)
32.3914 	EXP 	Created Zoid_Right = ShapeStim(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=-4.0, fillColor=array([ 0.05,  0.05,  0.05]), fillColorSpace='rgb', interpolate=True, lineColor=array([ 1.,  1.,  1.]), lineColorSpace='rgb', lineWidth=1, name='Zoid_Right', opacity=1.0, ori=array(0.0), pos=array([ 5.,  0.]), size=array([ 1.,  1.]), units='cm', vertices=ndarray(...), win=Window(...), windingRule=None)
32.5698 	EXP 	Created Button_Instructions = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.07, italic=False, name='Button_Instructions', opacity=1.0, ori=0, pos=array([ 0. ,  0.5]), rgb=array([ 0.,  0.,  0.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
32.5895 	EXP 	Created x_instruction = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'lightseagreen', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='x_instruction', opacity=1.0, ori=0, pos=array([-0.7, -0.8]), rgb=array([  32.,  178.,  170.]), text=u'SAME\nx', units=u'norm', win=Window(...), wrapWidth=1)
32.6139 	EXP 	Created m_instruction = TextStim(alignHoriz='right', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'tomato', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='m_instruction', opacity=1.0, ori=0, pos=array([ 0.7, -0.8]), rgb=array([ 255.,   99.,   71.]), text=u'DIFFERENT\nm', units=u'norm', win=Window(...), wrapWidth=1)
32.6508 	EXP 	Created Feedback_Screen = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='Feedback_Screen', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'Placeholder_text', units=u'norm', win=Window(...), wrapWidth=1)
32.6548 	EXP 	window1: blendMode = 'avg'
32.6559 	EXP 	window1: blendMode = 'avg'
32.6566 	EXP 	window1: blendMode = 'avg'
32.6685 	EXP 	x_instruction: autoDraw = True
32.6685 	EXP 	m_instruction: autoDraw = True
32.6685 	EXP 	Button_Instructions: autoDraw = True
37.6713 	EXP 	Created sequence: random, trialTypes=1, nReps=121, seed=None
38.7097 	EXP 	New trial (rep=0, index=0): None
38.7110 	EXP 	window1: blendMode = 'avg'
38.7114 	EXP 	window1: blendMode = 'avg'
38.7119 	EXP 	window1: blendMode = 'avg'
38.7193 	EXP 	Button_Instructions: autoDraw = False
38.7193 	EXP 	Zoid_Left: vertices = ((0.5, 0), (1.5, 0), (1.5, 1), (-0.5, 1), (-0.5, 0), (-1.5, 0), (-1.5, -1), (0.5, -1))
38.7193 	EXP 	Zoid_Left: ori = 90
38.7193 	EXP 	Zoid_Right: vertices = ((-0.5, 0), (-1.5, 0), (-1.5, 1), (0.5, 1), (0.5, 0), (1.5, 0), (1.5, -1), (-0.5, -1))
38.7193 	EXP 	Zoid_Right: ori = 0
38.7193 	EXP 	Orientation_Cue: autoDraw = True
38.7201 	EXP 	window1: blendMode = 'avg'
38.7204 	EXP 	window1: blendMode = 'avg'
38.7207 	EXP 	window1: blendMode = 'avg'
38.7303 	EXP 	window1: blendMode = 'avg'
38.7306 	EXP 	window1: blendMode = 'avg'
38.7308 	EXP 	window1: blendMode = 'avg'
38.7504 	EXP 	window1: blendMode = 'avg'
38.7508 	EXP 	window1: blendMode = 'avg'
38.7511 	EXP 	window1: blendMode = 'avg'
38.7730 	EXP 	window1: blendMode = 'avg'
38.7739 	EXP 	window1: blendMode = 'avg'
38.7749 	EXP 	window1: blendMode = 'avg'
38.7929 	EXP 	window1: blendMode = 'avg'
38.7936 	EXP 	window1: blendMode = 'avg'
38.7950 	EXP 	window1: blendMode = 'avg'
38.8131 	EXP 	window1: blendMode = 'avg'
38.8138 	EXP 	window1: blendMode = 'avg'
38.8145 	EXP 	window1: blendMode = 'avg'
38.8342 	EXP 	window1: blendMode = 'avg'
38.8349 	EXP 	window1: blendMode = 'avg'
38.8359 	EXP 	window1: blendMode = 'avg'
38.8536 	EXP 	window1: blendMode = 'avg'
38.8544 	EXP 	window1: blendMode = 'avg'
38.8550 	EXP 	window1: blendMode = 'avg'
38.8741 	EXP 	window1: blendMode = 'avg'
38.8747 	EXP 	window1: blendMode = 'avg'
38.8756 	EXP 	window1: blendMode = 'avg'
38.8944 	EXP 	window1: blendMode = 'avg'
38.8955 	EXP 	window1: blendMode = 'avg'
38.8966 	EXP 	window1: blendMode = 'avg'
38.9144 	EXP 	window1: blendMode = 'avg'
38.9152 	EXP 	window1: blendMode = 'avg'
38.9159 	EXP 	window1: blendMode = 'avg'
38.9343 	EXP 	window1: blendMode = 'avg'
38.9351 	EXP 	window1: blendMode = 'avg'
38.9357 	EXP 	window1: blendMode = 'avg'
38.9541 	EXP 	window1: blendMode = 'avg'
38.9553 	EXP 	window1: blendMode = 'avg'
38.9564 	EXP 	window1: blendMode = 'avg'
38.9733 	EXP 	window1: blendMode = 'avg'
38.9741 	EXP 	window1: blendMode = 'avg'
38.9747 	EXP 	window1: blendMode = 'avg'
38.9935 	EXP 	window1: blendMode = 'avg'
38.9946 	EXP 	window1: blendMode = 'avg'
38.9953 	EXP 	window1: blendMode = 'avg'
39.0128 	EXP 	window1: blendMode = 'avg'
39.0135 	EXP 	window1: blendMode = 'avg'
39.0141 	EXP 	window1: blendMode = 'avg'
39.0334 	EXP 	window1: blendMode = 'avg'
39.0345 	EXP 	window1: blendMode = 'avg'
39.0355 	EXP 	window1: blendMode = 'avg'
39.0526 	EXP 	window1: blendMode = 'avg'
39.0533 	EXP 	window1: blendMode = 'avg'
39.0539 	EXP 	window1: blendMode = 'avg'
39.0724 	EXP 	window1: blendMode = 'avg'
39.0731 	EXP 	window1: blendMode = 'avg'
39.0737 	EXP 	window1: blendMode = 'avg'
39.0928 	EXP 	window1: blendMode = 'avg'
39.0935 	EXP 	window1: blendMode = 'avg'
39.0942 	EXP 	window1: blendMode = 'avg'
39.1132 	EXP 	window1: blendMode = 'avg'
39.1142 	EXP 	window1: blendMode = 'avg'
39.1152 	EXP 	window1: blendMode = 'avg'
39.1331 	EXP 	window1: blendMode = 'avg'
39.1338 	EXP 	window1: blendMode = 'avg'
39.1345 	EXP 	window1: blendMode = 'avg'
39.1530 	EXP 	window1: blendMode = 'avg'
39.1537 	EXP 	window1: blendMode = 'avg'
39.1543 	EXP 	window1: blendMode = 'avg'
39.1721 	EXP 	window1: blendMode = 'avg'
39.1728 	EXP 	window1: blendMode = 'avg'
39.1734 	EXP 	window1: blendMode = 'avg'
39.1925 	EXP 	window1: blendMode = 'avg'
39.1935 	EXP 	window1: blendMode = 'avg'
39.1945 	EXP 	window1: blendMode = 'avg'
39.2147 	EXP 	window1: blendMode = 'avg'
39.2155 	EXP 	window1: blendMode = 'avg'
39.2162 	EXP 	window1: blendMode = 'avg'
39.2325 	EXP 	window1: blendMode = 'avg'
39.2332 	EXP 	window1: blendMode = 'avg'
39.2339 	EXP 	window1: blendMode = 'avg'
39.2526 	EXP 	window1: blendMode = 'avg'
39.2533 	EXP 	window1: blendMode = 'avg'
39.2539 	EXP 	window1: blendMode = 'avg'
39.2731 	EXP 	window1: blendMode = 'avg'
39.2740 	EXP 	window1: blendMode = 'avg'
39.2746 	EXP 	window1: blendMode = 'avg'
39.2927 	EXP 	window1: blendMode = 'avg'
39.2934 	EXP 	window1: blendMode = 'avg'
39.2941 	EXP 	window1: blendMode = 'avg'
39.3124 	EXP 	window1: blendMode = 'avg'
39.3131 	EXP 	window1: blendMode = 'avg'
39.3140 	EXP 	window1: blendMode = 'avg'
39.3347 	EXP 	window1: blendMode = 'avg'
39.3354 	EXP 	window1: blendMode = 'avg'
39.3360 	EXP 	window1: blendMode = 'avg'
39.3527 	EXP 	window1: blendMode = 'avg'
39.3534 	EXP 	window1: blendMode = 'avg'
39.3541 	EXP 	window1: blendMode = 'avg'
39.3720 	EXP 	window1: blendMode = 'avg'
39.3727 	EXP 	window1: blendMode = 'avg'
39.3733 	EXP 	window1: blendMode = 'avg'
39.3933 	EXP 	window1: blendMode = 'avg'
39.3945 	EXP 	window1: blendMode = 'avg'
39.3955 	EXP 	window1: blendMode = 'avg'
39.4127 	EXP 	window1: blendMode = 'avg'
39.4134 	EXP 	window1: blendMode = 'avg'
39.4141 	EXP 	window1: blendMode = 'avg'
39.4340 	EXP 	window1: blendMode = 'avg'
39.4347 	EXP 	window1: blendMode = 'avg'
39.4354 	EXP 	window1: blendMode = 'avg'
39.4531 	EXP 	window1: blendMode = 'avg'
39.4538 	EXP 	window1: blendMode = 'avg'
39.4549 	EXP 	window1: blendMode = 'avg'
39.4736 	EXP 	window1: blendMode = 'avg'
39.4743 	EXP 	window1: blendMode = 'avg'
39.4751 	EXP 	window1: blendMode = 'avg'
39.4955 	EXP 	window1: blendMode = 'avg'
39.4972 	EXP 	window1: blendMode = 'avg'
39.4982 	EXP 	window1: blendMode = 'avg'
39.5139 	EXP 	window1: blendMode = 'avg'
39.5146 	EXP 	window1: blendMode = 'avg'
39.5153 	EXP 	window1: blendMode = 'avg'
39.5351 	EXP 	window1: blendMode = 'avg'
39.5362 	EXP 	window1: blendMode = 'avg'
39.5371 	EXP 	window1: blendMode = 'avg'
39.5539 	EXP 	window1: blendMode = 'avg'
39.5546 	EXP 	window1: blendMode = 'avg'
39.5553 	EXP 	window1: blendMode = 'avg'
39.5744 	EXP 	window1: blendMode = 'avg'
39.5756 	EXP 	window1: blendMode = 'avg'
39.5766 	EXP 	window1: blendMode = 'avg'
39.5939 	EXP 	window1: blendMode = 'avg'
39.5950 	EXP 	window1: blendMode = 'avg'
39.5960 	EXP 	window1: blendMode = 'avg'
39.6131 	EXP 	window1: blendMode = 'avg'
39.6139 	EXP 	window1: blendMode = 'avg'
39.6145 	EXP 	window1: blendMode = 'avg'
39.6330 	EXP 	window1: blendMode = 'avg'
39.6336 	EXP 	window1: blendMode = 'avg'
39.6344 	EXP 	window1: blendMode = 'avg'
39.6534 	EXP 	window1: blendMode = 'avg'
39.6540 	EXP 	window1: blendMode = 'avg'
39.6547 	EXP 	window1: blendMode = 'avg'
39.6722 	EXP 	window1: blendMode = 'avg'
39.6728 	EXP 	window1: blendMode = 'avg'
39.6735 	EXP 	window1: blendMode = 'avg'
39.6925 	EXP 	window1: blendMode = 'avg'
39.6936 	EXP 	window1: blendMode = 'avg'
39.6944 	EXP 	window1: blendMode = 'avg'
39.7151 	EXP 	window1: blendMode = 'avg'
39.7158 	EXP 	window1: blendMode = 'avg'
39.7165 	EXP 	window1: blendMode = 'avg'
39.7326 	EXP 	window1: blendMode = 'avg'
39.7332 	EXP 	window1: blendMode = 'avg'
39.7341 	EXP 	window1: blendMode = 'avg'
39.7525 	EXP 	window1: blendMode = 'avg'
39.7533 	EXP 	window1: blendMode = 'avg'
39.7539 	EXP 	window1: blendMode = 'avg'
39.7730 	EXP 	window1: blendMode = 'avg'
39.7737 	EXP 	window1: blendMode = 'avg'
39.7744 	EXP 	window1: blendMode = 'avg'
39.7930 	EXP 	window1: blendMode = 'avg'
39.7941 	EXP 	window1: blendMode = 'avg'
