trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Block_Number,Trial_Number,Subject_Key,Correct_Key,Subject_Response,Correct_Response,Answered_Correctly,Left_Zoid,Left_Zoid_Orientation,Right_Zoid,Right_Zoid_Orientation,Response.rt,date,frameRate,expName,session,participant,
0,0,0,0,0,0,m,m,no,no,True,o,0,t,270,2.07759741112,2018_01_26_1345,49.5307751453,PL-Tetris_2,001,0,
1,0,1,0,0,1,m,m,no,no,True,s,0,j,0,1.37931042351,2018_01_26_1345,49.5307751453,PL-Tetris_2,001,0,
2,0,2,0,0,2,m,m,no,no,True,s,90,i,0,1.26324578654,2018_01_26_1345,49.5307751453,PL-Tetris_2,001,0,
3,0,3,0,0,3,m,m,no,no,True,t,180,z,0,1.11937791295,2018_01_26_1345,49.5307751453,PL-Tetris_2,001,0,
4,0,4,0,0,4,m,m,no,no,True,o,0,t,90,0.619366318919,2018_01_26_1345,49.5307751453,PL-Tetris_2,001,0,
5,0,5,0,0,5,m,m,no,no,True,z,90,t,0,0.441015817923,2018_01_26_1345,49.5307751453,PL-Tetris_2,001,0,
6,0,6,0,0,6,m,m,no,no,True,t,90,l,0,0.420350418193,2018_01_26_1345,49.5307751453,PL-Tetris_2,001,0,
7,0,7,0,0,7,m,m,no,no,True,s,90,i,90,0.541165249888,2018_01_26_1345,49.5307751453,PL-Tetris_2,001,0,
8,0,8,0,0,8,m,m,no,no,True,l,90,t,0,0.663034582278,2018_01_26_1345,49.5307751453,PL-Tetris_2,001,0,
9,0,9,0,0,9,m,m,no,no,True,l,0,i,0,0.539938927162,2018_01_26_1345,49.5307751453,PL-Tetris_2,001,0,
10,0,10,0,0,10,m,m,no,no,True,j,0,z,90,0.501908098813,2018_01_26_1345,49.5307751453,PL-Tetris_2,001,0,
11,0,11,0,0,11,m,m,no,no,True,j,90,l,0,1.86188512319,2018_01_26_1345,49.5307751453,PL-Tetris_2,001,0,
12,0,12,0,0,12,m,m,no,no,True,t,270,s,90,0.620252418797,2018_01_26_1345,49.5307751453,PL-Tetris_2,001,0,
13,0,13,0,0,13,m,m,no,no,True,j,0,l,90,0.541557551362,2018_01_26_1345,49.5307751453,PL-Tetris_2,001,0,
14,0,14,0,0,14,m,m,no,no,True,l,270,t,90,0.940143593121,2018_01_26_1345,49.5307751453,PL-Tetris_2,001,0,
15,0,15,0,0,15,m,m,no,no,True,t,180,j,0,0.843556807144,2018_01_26_1345,49.5307751453,PL-Tetris_2,001,0,
16,0,16,0,0,16,m,m,no,no,True,j,270,z,0,0.561428464483,2018_01_26_1345,49.5307751453,PL-Tetris_2,001,0,
17,0,17,0,0,17,m,m,no,no,True,s,0,l,270,0.557991263689,2018_01_26_1345,49.5307751453,PL-Tetris_2,001,0,
18,0,18,0,0,18,m,m,no,no,True,i,90,j,180,0.66303534247,2018_01_26_1345,49.5307751453,PL-Tetris_2,001,0,
19,0,19,0,0,19,m,m,no,no,True,i,90,o,0,0.864669628441,2018_01_26_1345,49.5307751453,PL-Tetris_2,001,0,
