3.1065 	ERROR 	avbin.dll failed to load. Try importing psychopy.visual
  as the first library (before anything that uses scipy)
  and make sure that avbin is installed.
9.1272 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.95,  0.95,  0.95]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1AA146B0>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1600,  900]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
9.1273 	EXP 	window1: recordFrameIntervals = False
9.3235 	EXP 	window1: recordFrameIntervals = True
9.5461 	EXP 	window1: recordFrameIntervals = False
9.9124 	EXP 	Created Orientation_Cue = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='Orientation_Cue', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'\u25cb', units=u'norm', win=Window(...), wrapWidth=1)
9.9248 	EXP 	Created Ready_Cue = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='Ready_Cue', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'\u23fa', units=u'norm', win=Window(...), wrapWidth=1)
9.9374 	EXP 	Created Zoid_Left = ShapeStim(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=-3.0, fillColor=array([ 0.05,  0.05,  0.05]), fillColorSpace='rgb', interpolate=True, lineColor=array([ 1.,  1.,  1.]), lineColorSpace='rgb', lineWidth=1, name='Zoid_Left', opacity=1.0, ori=array(0.0), pos=array([-5.,  0.]), size=array([ 1.,  1.]), units='cm', vertices=ndarray(...), win=Window(...), windingRule=None)
9.9400 	EXP 	Created Zoid_Right = ShapeStim(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=-4.0, fillColor=array([ 0.05,  0.05,  0.05]), fillColorSpace='rgb', interpolate=True, lineColor=array([ 1.,  1.,  1.]), lineColorSpace='rgb', lineWidth=1, name='Zoid_Right', opacity=1.0, ori=array(0.0), pos=array([ 5.,  0.]), size=array([ 1.,  1.]), units='cm', vertices=ndarray(...), win=Window(...), windingRule=None)
10.0431 	EXP 	Created Button_Instructions = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.07, italic=False, name='Button_Instructions', opacity=1.0, ori=0, pos=array([ 0. ,  0.5]), rgb=array([ 0.,  0.,  0.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
10.0678 	EXP 	Created x_instruction = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'tomato', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='x_instruction', opacity=1.0, ori=0, pos=array([-0.7, -0.8]), rgb=array([ 255.,   99.,   71.]), text=u'DIFFERENT\n\x01f149', units=u'norm', win=Window(...), wrapWidth=1)
10.0785 	EXP 	Created m_instruction = TextStim(alignHoriz='right', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'lightseagreen', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='m_instruction', opacity=1.0, ori=0, pos=array([ 0.7, -0.8]), rgb=array([  32.,  178.,  170.]), text=u'SAME\nM', units=u'norm', win=Window(...), wrapWidth=1)
10.0972 	EXP 	Created Feedback_Screen = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='Feedback_Screen', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'Placeholder_text', units=u'norm', win=Window(...), wrapWidth=1)
10.0992 	EXP 	window1: blendMode = 'avg'
10.0997 	EXP 	window1: blendMode = 'avg'
10.1001 	EXP 	window1: blendMode = 'avg'
10.1087 	EXP 	x_instruction: autoDraw = True
10.1087 	EXP 	m_instruction: autoDraw = True
10.1087 	EXP 	Button_Instructions: autoDraw = True
15.1102 	EXP 	Created sequence: random, trialTypes=1, nReps=121, seed=None
15.5188 	EXP 	New trial (rep=0, index=0): None
15.5198 	EXP 	window1: blendMode = 'avg'
15.5200 	EXP 	window1: blendMode = 'avg'
15.5203 	EXP 	window1: blendMode = 'avg'
15.5272 	EXP 	Button_Instructions: autoDraw = False
15.5272 	EXP 	Zoid_Left: vertices = ((0.5, 0), (1.5, 0), (1.5, 1), (-1.5, 1), (-1.5, 0), (-0.5, 0), (-0.5, -1), (0.5, -1))
15.5272 	EXP 	Zoid_Left: ori = 180
15.5272 	EXP 	Zoid_Right: vertices = ((0.5, 0), (1.5, 0), (1.5, 1), (-1.5, 1), (-1.5, 0), (-0.5, 0), (-0.5, -1), (0.5, -1))
15.5272 	EXP 	Zoid_Right: ori = 180
15.5272 	EXP 	Orientation_Cue: autoDraw = True
15.5278 	EXP 	window1: blendMode = 'avg'
15.5280 	EXP 	window1: blendMode = 'avg'
15.5283 	EXP 	window1: blendMode = 'avg'
15.5414 	EXP 	window1: blendMode = 'avg'
15.5416 	EXP 	window1: blendMode = 'avg'
15.5418 	EXP 	window1: blendMode = 'avg'
15.5611 	EXP 	window1: blendMode = 'avg'
15.5614 	EXP 	window1: blendMode = 'avg'
15.5616 	EXP 	window1: blendMode = 'avg'
15.5838 	EXP 	window1: blendMode = 'avg'
15.5843 	EXP 	window1: blendMode = 'avg'
15.5848 	EXP 	window1: blendMode = 'avg'
15.6031 	EXP 	window1: blendMode = 'avg'
15.6036 	EXP 	window1: blendMode = 'avg'
15.6041 	EXP 	window1: blendMode = 'avg'
15.6230 	EXP 	window1: blendMode = 'avg'
15.6235 	EXP 	window1: blendMode = 'avg'
15.6240 	EXP 	window1: blendMode = 'avg'
15.6436 	EXP 	window1: blendMode = 'avg'
15.6442 	EXP 	window1: blendMode = 'avg'
15.6447 	EXP 	window1: blendMode = 'avg'
15.6636 	EXP 	window1: blendMode = 'avg'
15.6642 	EXP 	window1: blendMode = 'avg'
15.6647 	EXP 	window1: blendMode = 'avg'
15.6833 	EXP 	window1: blendMode = 'avg'
15.6840 	EXP 	window1: blendMode = 'avg'
15.6845 	EXP 	window1: blendMode = 'avg'
15.7034 	EXP 	window1: blendMode = 'avg'
15.7040 	EXP 	window1: blendMode = 'avg'
15.7045 	EXP 	window1: blendMode = 'avg'
15.7241 	EXP 	window1: blendMode = 'avg'
15.7248 	EXP 	window1: blendMode = 'avg'
15.7254 	EXP 	window1: blendMode = 'avg'
15.7452 	EXP 	window1: blendMode = 'avg'
15.7463 	EXP 	window1: blendMode = 'avg'
15.7470 	EXP 	window1: blendMode = 'avg'
15.7649 	EXP 	window1: blendMode = 'avg'
15.7655 	EXP 	window1: blendMode = 'avg'
15.7662 	EXP 	window1: blendMode = 'avg'
15.7857 	EXP 	window1: blendMode = 'avg'
15.7864 	EXP 	window1: blendMode = 'avg'
15.7871 	EXP 	window1: blendMode = 'avg'
15.8041 	EXP 	window1: blendMode = 'avg'
15.8048 	EXP 	window1: blendMode = 'avg'
15.8054 	EXP 	window1: blendMode = 'avg'
15.8242 	EXP 	window1: blendMode = 'avg'
15.8253 	EXP 	window1: blendMode = 'avg'
15.8260 	EXP 	window1: blendMode = 'avg'
15.8449 	EXP 	window1: blendMode = 'avg'
15.8459 	EXP 	window1: blendMode = 'avg'
15.8466 	EXP 	window1: blendMode = 'avg'
15.8654 	EXP 	window1: blendMode = 'avg'
15.8661 	EXP 	window1: blendMode = 'avg'
15.8667 	EXP 	window1: blendMode = 'avg'
15.8850 	EXP 	window1: blendMode = 'avg'
15.8857 	EXP 	window1: blendMode = 'avg'
15.8863 	EXP 	window1: blendMode = 'avg'
15.9044 	EXP 	window1: blendMode = 'avg'
15.9051 	EXP 	window1: blendMode = 'avg'
15.9058 	EXP 	window1: blendMode = 'avg'
15.9253 	EXP 	window1: blendMode = 'avg'
15.9260 	EXP 	window1: blendMode = 'avg'
15.9267 	EXP 	window1: blendMode = 'avg'
15.9451 	EXP 	window1: blendMode = 'avg'
15.9458 	EXP 	window1: blendMode = 'avg'
15.9464 	EXP 	window1: blendMode = 'avg'
15.9650 	EXP 	window1: blendMode = 'avg'
15.9658 	EXP 	window1: blendMode = 'avg'
15.9665 	EXP 	window1: blendMode = 'avg'
15.9858 	EXP 	window1: blendMode = 'avg'
15.9865 	EXP 	window1: blendMode = 'avg'
15.9871 	EXP 	window1: blendMode = 'avg'
16.0039 	EXP 	window1: blendMode = 'avg'
16.0045 	EXP 	window1: blendMode = 'avg'
16.0051 	EXP 	window1: blendMode = 'avg'
16.0234 	EXP 	window1: blendMode = 'avg'
16.0241 	EXP 	window1: blendMode = 'avg'
16.0247 	EXP 	window1: blendMode = 'avg'
16.0446 	EXP 	window1: blendMode = 'avg'
16.0457 	EXP 	window1: blendMode = 'avg'
16.0466 	EXP 	window1: blendMode = 'avg'
16.0656 	EXP 	window1: blendMode = 'avg'
16.0663 	EXP 	window1: blendMode = 'avg'
16.0670 	EXP 	window1: blendMode = 'avg'
16.0842 	EXP 	window1: blendMode = 'avg'
16.0853 	EXP 	window1: blendMode = 'avg'
16.0864 	EXP 	window1: blendMode = 'avg'
16.1031 	EXP 	window1: blendMode = 'avg'
16.1037 	EXP 	window1: blendMode = 'avg'
16.1042 	EXP 	window1: blendMode = 'avg'
16.1238 	EXP 	window1: blendMode = 'avg'
16.1242 	EXP 	window1: blendMode = 'avg'
16.1246 	EXP 	window1: blendMode = 'avg'
16.1423 	EXP 	window1: blendMode = 'avg'
16.1426 	EXP 	window1: blendMode = 'avg'
16.1430 	EXP 	window1: blendMode = 'avg'
16.1612 	EXP 	window1: blendMode = 'avg'
16.1615 	EXP 	window1: blendMode = 'avg'
16.1617 	EXP 	window1: blendMode = 'avg'
16.1813 	EXP 	window1: blendMode = 'avg'
16.1816 	EXP 	window1: blendMode = 'avg'
16.1818 	EXP 	window1: blendMode = 'avg'
16.2047 	EXP 	window1: blendMode = 'avg'
16.2055 	EXP 	window1: blendMode = 'avg'
16.2061 	EXP 	window1: blendMode = 'avg'
16.2241 	EXP 	window1: blendMode = 'avg'
16.2247 	EXP 	window1: blendMode = 'avg'
16.2253 	EXP 	window1: blendMode = 'avg'
16.2435 	EXP 	window1: blendMode = 'avg'
16.2442 	EXP 	window1: blendMode = 'avg'
16.2448 	EXP 	window1: blendMode = 'avg'
16.2643 	EXP 	window1: blendMode = 'avg'
16.2649 	EXP 	window1: blendMode = 'avg'
16.2654 	EXP 	window1: blendMode = 'avg'
16.2845 	EXP 	window1: blendMode = 'avg'
16.2852 	EXP 	window1: blendMode = 'avg'
16.2857 	EXP 	window1: blendMode = 'avg'
16.3037 	EXP 	window1: blendMode = 'avg'
16.3043 	EXP 	window1: blendMode = 'avg'
16.3048 	EXP 	window1: blendMode = 'avg'
16.3249 	EXP 	window1: blendMode = 'avg'
16.3255 	EXP 	window1: blendMode = 'avg'
16.3261 	EXP 	window1: blendMode = 'avg'
16.3438 	EXP 	window1: blendMode = 'avg'
16.3447 	EXP 	window1: blendMode = 'avg'
16.3458 	EXP 	window1: blendMode = 'avg'
16.3646 	EXP 	window1: blendMode = 'avg'
16.3654 	EXP 	window1: blendMode = 'avg'
16.3662 	EXP 	window1: blendMode = 'avg'
16.3841 	EXP 	window1: blendMode = 'avg'
16.3847 	EXP 	window1: blendMode = 'avg'
16.3853 	EXP 	window1: blendMode = 'avg'
16.4033 	EXP 	window1: blendMode = 'avg'
16.4041 	EXP 	window1: blendMode = 'avg'
16.4046 	EXP 	window1: blendMode = 'avg'
16.4235 	EXP 	window1: blendMode = 'avg'
16.4241 	EXP 	window1: blendMode = 'avg'
16.4247 	EXP 	window1: blendMode = 'avg'
16.4436 	EXP 	window1: blendMode = 'avg'
16.4443 	EXP 	window1: blendMode = 'avg'
16.4448 	EXP 	window1: blendMode = 'avg'
16.4636 	EXP 	window1: blendMode = 'avg'
16.4642 	EXP 	window1: blendMode = 'avg'
16.4648 	EXP 	window1: blendMode = 'avg'
16.4847 	EXP 	window1: blendMode = 'avg'
16.4853 	EXP 	window1: blendMode = 'avg'
16.4858 	EXP 	window1: blendMode = 'avg'
16.5048 	EXP 	window1: blendMode = 'avg'
16.5054 	EXP 	window1: blendMode = 'avg'
16.5060 	EXP 	window1: blendMode = 'avg'
16.5244 	EXP 	window1: blendMode = 'avg'
16.5250 	EXP 	window1: blendMode = 'avg'
16.5256 	EXP 	window1: blendMode = 'avg'
16.5419 	EXP 	window1: blendMode = 'avg'
16.5423 	EXP 	window1: blendMode = 'avg'
16.5430 	EXP 	window1: blendMode = 'avg'
16.5622 	EXP 	window1: blendMode = 'avg'
16.5626 	EXP 	window1: blendMode = 'avg'
16.5630 	EXP 	window1: blendMode = 'avg'
16.5821 	EXP 	window1: blendMode = 'avg'
16.5825 	EXP 	window1: blendMode = 'avg'
16.5829 	EXP 	window1: blendMode = 'avg'
16.6020 	EXP 	window1: blendMode = 'avg'
16.6024 	EXP 	window1: blendMode = 'avg'
