Block_Number,Trial_Number,Subject_Key_Box,Correct_Response,Answered_Correctly,Left_Zoid,Left_Zoid_Orientation,Right_Zoid,Right_Zoid_Orientation,Response.rt.box,date,frameRate,SID,RIN
0,0,3,same,TRUE,l,180,l,0,2.65371497,2018_Apr_03_1538,59.95677375,18S051,661637493
0,1,3,same,TRUE,t,270,t,90,1.464819529,2018_Apr_03_1538,59.95677375,18S051,661637493
0,2,3,same,TRUE,t,180,t,270,1.671611257,2018_Apr_03_1538,59.95677375,18S051,661637493
0,3,3,same,TRUE,l,90,l,270,6.088314846,2018_Apr_03_1538,59.95677375,18S051,661637493
0,4,2,diff,TRUE,z,0,i,0,1.435108959,2018_Apr_03_1538,59.95677375,18S051,661637493
0,5,3,same,TRUE,j,180,j,180,1.168364033,2018_Apr_03_1538,59.95677375,18S051,661637493
0,6,3,same,TRUE,l,90,l,90,0.93472587,2018_Apr_03_1538,59.95677375,18S051,661637493
0,7,3,same,TRUE,t,180,t,180,0.817997592,2018_Apr_03_1538,59.95677375,18S051,661637493
0,8,3,same,TRUE,s,0,s,90,1.668528683,2018_Apr_03_1538,59.95677375,18S051,661637493
0,9,2,diff,TRUE,l,180,t,270,1.203433461,2018_Apr_03_1538,59.95677375,18S051,661637493
0,10,3,same,TRUE,l,270,l,0,3.937233721,2018_Apr_03_1538,59.95677375,18S051,661637493
0,11,2,diff,TRUE,t,270,s,0,1.352898724,2018_Apr_03_1538,59.95677375,18S051,661637493
0,12,2,diff,TRUE,t,90,l,180,1.451886796,2018_Apr_03_1538,59.95677375,18S051,661637493
0,13,2,diff,TRUE,j,90,t,270,0.868405132,2018_Apr_03_1538,59.95677375,18S051,661637493
0,14,2,diff,TRUE,z,90,l,90,0.966771072,2018_Apr_03_1538,59.95677375,18S051,661637493
0,15,2,diff,TRUE,l,180,s,0,1.15133129,2018_Apr_03_1538,59.95677375,18S051,661637493
0,16,3,same,TRUE,j,90,j,0,2.335995075,2018_Apr_03_1538,59.95677375,18S051,661637493
0,17,2,diff,TRUE,j,90,t,90,0.851407033,2018_Apr_03_1538,59.95677375,18S051,661637493
0,18,3,same,TRUE,j,270,j,0,3.352812662,2018_Apr_03_1538,59.95677375,18S051,661637493
0,19,3,same,TRUE,t,90,t,270,1.869031274,2018_Apr_03_1538,59.95677375,18S051,661637493
0,20,2,same,FALSE,j,180,j,270,4.48999759,2018_Apr_03_1538,59.95677375,18S051,661637493
0,21,2,same,FALSE,l,0,l,0,0.868434306,2018_Apr_03_1538,59.95677375,18S051,661637493
0,22,2,diff,TRUE,l,270,j,270,9.892207284,2018_Apr_03_1538,59.95677375,18S051,661637493
0,23,3,same,TRUE,t,0,t,90,1.034918089,2018_Apr_03_1538,59.95677375,18S051,661637493
0,24,3,same,TRUE,t,270,t,270,0.851547432,2018_Apr_03_1538,59.95677375,18S051,661637493
0,25,2,diff,TRUE,l,0,s,0,1.618716653,2018_Apr_03_1538,59.95677375,18S051,661637493
0,26,3,same,TRUE,z,0,z,90,3.087045787,2018_Apr_03_1538,59.95677375,18S051,661637493
0,27,2,diff,TRUE,t,270,z,0,0.851508047,2018_Apr_03_1538,59.95677375,18S051,661637493
0,28,2,diff,TRUE,s,90,l,270,2.454509518,2018_Apr_03_1538,59.95677375,18S051,661637493
0,29,3,same,TRUE,j,180,j,90,2.919716693,2018_Apr_03_1538,59.95677375,18S051,661637493
0,30,2,diff,TRUE,z,90,t,270,0.884923687,2018_Apr_03_1538,59.95677375,18S051,661637493
0,31,3,same,TRUE,l,90,l,180,1.685344081,2018_Apr_03_1538,59.95677375,18S051,661637493
0,32,2,diff,TRUE,j,0,t,180,0.768071056,2018_Apr_03_1538,59.95677375,18S051,661637493
0,33,3,diff,FALSE,s,0,z,0,4.57129979,2018_Apr_03_1538,59.95677375,18S051,661637493
0,34,2,diff,TRUE,j,270,i,0,1.635209316,2018_Apr_03_1538,59.95677375,18S051,661637493
0,35,3,same,TRUE,l,180,l,90,2.132918993,2018_Apr_03_1538,59.95677375,18S051,661637493
0,36,3,same,TRUE,j,0,j,90,3.51953567,2018_Apr_03_1538,59.95677375,18S051,661637493
0,37,3,same,TRUE,t,180,t,0,1.233640351,2018_Apr_03_1538,59.95677375,18S051,661637493
0,38,3,same,TRUE,j,0,j,0,0.917644991,2018_Apr_03_1538,59.95677375,18S051,661637493
0,39,3,same,TRUE,j,180,j,0,6.873136388,2018_Apr_03_1538,59.95677375,18S051,661637493
0,40,2,diff,TRUE,j,270,i,90,0.784948813,2018_Apr_03_1538,59.95677375,18S051,661637493
0,41,3,same,TRUE,i,0,i,90,0.966120862,2018_Apr_03_1538,59.95677375,18S051,661637493
0,42,3,same,TRUE,j,90,j,90,0.817640943,2018_Apr_03_1538,59.95677375,18S051,661637493
0,43,2,diff,TRUE,j,180,l,90,2.152824988,2018_Apr_03_1538,59.95677375,18S051,661637493
0,44,2,diff,TRUE,o,0,t,270,0.785002784,2018_Apr_03_1538,59.95677375,18S051,661637493
0,45,3,same,TRUE,l,270,l,270,0.751341355,2018_Apr_03_1538,59.95677375,18S051,661637493
0,46,2,diff,TRUE,z,90,j,0,0.784848163,2018_Apr_03_1538,59.95677375,18S051,661637493
0,47,3,same,TRUE,l,270,l,180,1.602035089,2018_Apr_03_1538,59.95677375,18S051,661637493
0,48,3,same,TRUE,i,90,i,0,0.867940539,2018_Apr_03_1538,59.95677375,18S051,661637493
0,49,2,diff,TRUE,j,180,l,270,3.837475462,2018_Apr_03_1538,59.95677375,18S051,661637493
0,50,2,diff,TRUE,t,0,l,270,1.034805405,2018_Apr_03_1538,59.95677375,18S051,661637493
0,51,2,diff,TRUE,i,90,s,90,0.768138155,2018_Apr_03_1538,59.95677375,18S051,661637493
0,52,2,diff,TRUE,z,90,t,0,1.018421414,2018_Apr_03_1538,59.95677375,18S051,661637493
0,53,3,same,TRUE,j,90,j,270,2.018141346,2018_Apr_03_1538,59.95677375,18S051,661637493
0,54,2,diff,TRUE,i,90,t,180,0.654247756,2018_Apr_03_1538,59.95677375,18S051,661637493
0,55,3,same,TRUE,j,270,j,180,1.935622599,2018_Apr_03_1538,59.95677375,18S051,661637493
0,56,2,diff,TRUE,s,0,o,0,0.784932038,2018_Apr_03_1538,59.95677375,18S051,661637493
0,57,3,same,TRUE,o,0,o,0,0.799647654,2018_Apr_03_1538,59.95677375,18S051,661637493
0,58,2,diff,TRUE,l,0,j,180,3.319866355,2018_Apr_03_1538,59.95677375,18S051,661637493
0,59,2,diff,TRUE,l,270,t,270,0.837119542,2018_Apr_03_1538,59.95677375,18S051,661637493
1,0,3,same,TRUE,l,0,l,270,1.585730962,2018_Apr_03_1538,59.95677375,18S051,661637493
1,1,2,same,FALSE,l,0,l,90,1.350538931,2018_Apr_03_1538,59.95677375,18S051,661637493
1,2,3,same,TRUE,t,90,t,90,0.718310445,2018_Apr_03_1538,59.95677375,18S051,661637493
1,3,3,same,TRUE,j,270,j,270,0.718584313,2018_Apr_03_1538,59.95677375,18S051,661637493
1,4,2,diff,TRUE,l,0,t,90,0.833763099,2018_Apr_03_1538,59.95677375,18S051,661637493
1,5,3,diff,FALSE,t,0,i,90,0.60146766,2018_Apr_03_1538,59.95677375,18S051,661637493
1,6,2,diff,TRUE,i,90,s,0,0.751998859,2018_Apr_03_1538,59.95677375,18S051,661637493
1,7,3,same,TRUE,t,0,t,270,0.96648444,2018_Apr_03_1538,59.95677375,18S051,661637493
1,8,3,same,TRUE,j,90,j,180,7.023925776,2018_Apr_03_1538,59.95677375,18S051,661637493
1,9,2,same,FALSE,l,270,l,90,3.236664577,2018_Apr_03_1538,59.95677375,18S051,661637493
1,10,3,same,TRUE,t,90,t,180,0.768228959,2018_Apr_03_1538,59.95677375,18S051,661637493
1,11,2,diff,TRUE,t,0,l,180,0.851921585,2018_Apr_03_1538,59.95677375,18S051,661637493
1,12,3,same,TRUE,t,0,t,0,0.734604726,2018_Apr_03_1538,59.95677375,18S051,661637493
1,13,2,diff,TRUE,i,0,z,90,0.617895411,2018_Apr_03_1538,59.95677375,18S051,661637493
1,14,2,diff,TRUE,t,90,s,0,1.118371491,2018_Apr_03_1538,59.95677375,18S051,661637493
1,15,3,same,TRUE,s,90,s,90,0.918407885,2018_Apr_03_1538,59.95677375,18S051,661637493
1,16,3,same,TRUE,s,90,s,0,2.186574667,2018_Apr_03_1538,59.95677375,18S051,661637493
1,17,2,diff,TRUE,o,0,j,270,1.051722547,2018_Apr_03_1538,59.95677375,18S051,661637493
1,18,2,diff,TRUE,l,90,i,90,0.734913239,2018_Apr_03_1538,59.95677375,18S051,661637493
1,19,3,same,TRUE,l,0,l,180,3.584907167,2018_Apr_03_1538,59.95677375,18S051,661637493
1,20,3,same,TRUE,z,0,z,0,0.885535607,2018_Apr_03_1538,59.95677375,18S051,661637493
1,21,2,diff,TRUE,i,0,j,90,0.770412251,2018_Apr_03_1538,59.95677375,18S051,661637493
