32.0113 	EXP 	Orientation_Cue: autoDraw = True
34.0118 	EXP 	Orientation_Cue: autoDraw = False
34.0319 	EXP 	Ready_Cue: autoDraw = True
34.5118 	EXP 	Ready_Cue: autoDraw = False
34.5316 	EXP 	Zoid_Left: autoDraw = True
34.5316 	EXP 	Zoid_Right: autoDraw = True
36.3121 	DATA 	Keypress: m
36.3166 	EXP 	New trial (rep=2, index=0): None
36.3318 	EXP 	Orientation_Cue: autoDraw = False
36.3318 	EXP 	Ready_Cue: autoDraw = False
36.3318 	EXP 	Zoid_Left: autoDraw = False
36.3318 	EXP 	Zoid_Right: autoDraw = False
36.3318 	EXP 	Zoid_Left: vertices = ((0, -0.5), (1, -0.5), (1, -1.5), (-1, -1.5), (-1, 1.5), (0, 1.5))
36.3318 	EXP 	Zoid_Left: ori = 270
36.3318 	EXP 	Zoid_Right: vertices = ((0, -0.5), (1, -0.5), (1, -1.5), (-1, -1.5), (-1, 1.5), (0, 1.5))
36.3318 	EXP 	Zoid_Right: ori = 270
36.3318 	EXP 	Orientation_Cue: autoDraw = True
38.3317 	EXP 	Orientation_Cue: autoDraw = False
38.3518 	EXP 	Ready_Cue: autoDraw = True
38.8322 	EXP 	Ready_Cue: autoDraw = False
38.8522 	EXP 	Zoid_Left: autoDraw = True
38.8522 	EXP 	Zoid_Right: autoDraw = True
39.6125 	DATA 	Keypress: x
39.6169 	EXP 	New trial (rep=3, index=0): None
39.6322 	EXP 	Orientation_Cue: autoDraw = False
39.6322 	EXP 	Ready_Cue: autoDraw = False
39.6322 	EXP 	Zoid_Left: autoDraw = False
39.6322 	EXP 	Zoid_Right: autoDraw = False
39.6322 	EXP 	Zoid_Left: vertices = ((0.5, 0), (1.5, 0), (1.5, 1), (-1.5, 1), (-1.5, 0), (-0.5, 0), (-0.5, -1), (0.5, -1))
39.6322 	EXP 	Zoid_Left: ori = 270
39.6322 	EXP 	Zoid_Right: vertices = ((0.5, 0), (1.5, 0), (1.5, 1), (-0.5, 1), (-0.5, 0), (-1.5, 0), (-1.5, -1), (0.5, -1))
39.6322 	EXP 	Zoid_Right: ori = 90
39.6322 	EXP 	Orientation_Cue: autoDraw = True
41.6320 	EXP 	Orientation_Cue: autoDraw = False
41.6521 	EXP 	Ready_Cue: autoDraw = True
42.1321 	EXP 	Ready_Cue: autoDraw = False
42.1522 	EXP 	Zoid_Left: autoDraw = True
42.1522 	EXP 	Zoid_Right: autoDraw = True
42.9525 	DATA 	Keypress: m
42.9571 	EXP 	New trial (rep=4, index=0): None
42.9722 	EXP 	Orientation_Cue: autoDraw = False
42.9722 	EXP 	Ready_Cue: autoDraw = False
42.9722 	EXP 	Zoid_Left: autoDraw = False
42.9722 	EXP 	Zoid_Right: autoDraw = False
42.9722 	EXP 	Zoid_Left: vertices = ((0.5, 0), (1.5, 0), (1.5, 1), (-0.5, 1), (-0.5, 0), (-1.5, 0), (-1.5, -1), (0.5, -1))
42.9722 	EXP 	Zoid_Left: ori = 0
